clube,data,rodada,local,resultado,gols_marcados,gols_sofridos,oponente,posse,gols_partida,escudo
Wolfsburg,2021-03-13,25,Em casa,V,5.0,0.0,Schalke 04,53.0,5.0,
Wolfsburg,2021-03-06,24,Visitante,D,1.0,2.0,Hoffenheim,60.0,3.0,
Wolfsburg,2021-02-27,23,Em casa,V,2.0,0.0,Hertha BSC,57.0,2.0,
Wolfsburg,2021-02-19,22,Visitante,V,3.0,0.0,Arminia,56.0,3.0,
Wolfsburg,2021-02-14,21,Em casa,E,0.0,0.0,M'Gladbach,55.0,0.0,
Wolfsburg,2021-02-06,20,Visitante,V,2.0,0.0,Augsburg,54.0,2.0,
Wolfsburg,2021-01-31,19,Em casa,V,3.0,0.0,Freiburg,45.0,3.0,
Wolfsburg,2021-01-23,18,Visitante,V,1.0,0.0,Leverkusen,36.0,1.0,
Wolfsburg,2021-01-19,17,Visitante,V,2.0,0.0,Mainz 05,62.0,2.0,
Wolfsburg,2021-01-16,16,Em casa,E,2.0,2.0,RB Leipzig,48.0,4.0,
Wolfsburg,2021-01-09,15,Visitante,E,2.0,2.0,Union Berlin,53.0,4.0,
Wolfsburg,2021-01-03,14,Visitante,D,0.0,2.0,Dortmund,40.0,2.0,
Wolfsburg,2020-12-20,13,Em casa,V,1.0,0.0,Stuttgart,49.0,1.0,
Wolfsburg,2020-12-16,12,Visitante,D,1.0,2.0,Bayern Munich,42.0,3.0,
Wolfsburg,2020-12-11,11,Em casa,V,2.0,1.0,Eint Frankfurt,55.0,3.0,
Wolfsburg,2020-12-05,10,Visitante,E,2.0,2.0,Köln,60.0,4.0,
Wolfsburg,2020-11-27, 9,Em casa,V,5.0,3.0,Werder Bremen,61.0,8.0,
Wolfsburg,2020-11-21, 8,Visitante,V,2.0,0.0,Schalke 04,57.0,2.0,
Wolfsburg,2020-11-08, 7,Em casa,V,2.0,1.0,Hoffenheim,45.0,3.0,
Wolfsburg,2020-11-01, 6,Visitante,E,1.0,1.0,Hertha BSC,47.0,2.0,
Wolfsburg,2020-10-25, 5,Em casa,V,2.0,1.0,Arminia,48.0,3.0,
Wolfsburg,2020-10-17, 4,Visitante,E,1.0,1.0,M'Gladbach,53.0,2.0,
Wolfsburg,2020-10-04, 3,Em casa,E,0.0,0.0,Augsburg,63.0,0.0,
Wolfsburg,2020-09-27, 2,Visitante,E,1.0,1.0,Freiburg,48.0,2.0,
Wolfsburg,2020-09-20, 1,Em casa,E,0.0,0.0,Leverkusen,41.0,0.0,
