data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_partida
2021-07-18,Chapecoense,Cuiaba,2.0,3.0,Vitória Visitante,5.0
2021-07-18,Fluminense,Grêmio,0.0,1.0,Vitória Visitante,1.0
2021-07-18,Bahia,Flamengo,0.0,5.0,Vitória Visitante,5.0
2021-07-18,Atl Goianiense,Palmeiras,0.0,3.0,Vitória Visitante,3.0
2021-07-17,Corinthians,Atlético Mineiro,1.0,2.0,Vitória Visitante,3.0
2021-07-17,São Paulo,Fortaleza,0.0,1.0,Vitória Visitante,1.0
2021-07-17,Ceará,Atl Paranaense,1.0,0.0,Vitória Mandante,1.0
2021-07-12,Fortaleza,Corinthians,1.0,0.0,Vitória Mandante,1.0
2021-07-11,Flamengo,Chapecoense,2.0,1.0,Vitória Mandante,3.0
2021-07-11,Cuiaba,Ceará,2.0,2.0,Empate,4.0
2021-07-11,Juventude,Atl Goianiense,1.0,1.0,Empate,2.0
2021-07-10,América (MG),Atlético Mineiro,0.0,1.0,Vitória Visitante,1.0
2021-07-10,Palmeiras,Santos,3.0,2.0,Vitória Mandante,5.0
2021-07-10,Atl Paranaense,Bragantino,2.0,2.0,Empate,4.0
2021-07-10,Grêmio,Internacional,0.0,0.0,Empate,0.0
2021-07-10,São Paulo,Bahia,1.0,0.0,Vitória Mandante,1.0
2021-07-10,Sport Recife,Fluminense,1.0,2.0,Vitória Visitante,3.0
2021-07-09,Chapecoense,Corinthians,0.0,1.0,Vitória Visitante,1.0
2021-07-08,Internacional,São Paulo,0.0,2.0,Vitória Visitante,2.0
2021-07-08,Fluminense,Ceará,0.0,0.0,Empate,0.0
2021-07-07,Atl Goianiense,Sport Recife,1.0,1.0,Empate,2.0
2021-07-07,Palmeiras,Grêmio,2.0,0.0,Vitória Mandante,2.0
2021-07-07,Atlético Mineiro,Flamengo,2.0,1.0,Vitória Mandante,3.0
2021-07-07,Fortaleza,América (MG),4.0,0.0,Vitória Mandante,4.0
2021-07-07,Bragantino,Cuiaba,1.0,1.0,Empate,2.0
2021-07-07,Bahia,Juventude,1.0,0.0,Vitória Mandante,1.0
2021-07-06,Santos,Atl Paranaense,2.0,1.0,Vitória Mandante,3.0
2021-07-05,Grêmio,Atl Goianiense,0.0,1.0,Vitória Visitante,1.0
2021-07-04,Flamengo,Fluminense,0.0,1.0,Vitória Visitante,1.0
2021-07-04,Corinthians,Internacional,1.0,1.0,Empate,2.0
2021-07-04,Chapecoense,Bahia,0.0,2.0,Vitória Visitante,2.0
2021-07-04,Sport Recife,Palmeiras,0.0,1.0,Vitória Visitante,1.0
2021-07-04,Cuiaba,Atlético Mineiro,0.0,1.0,Vitória Visitante,1.0
2021-07-04,São Paulo,Bragantino,1.0,2.0,Vitória Visitante,3.0
2021-07-04,Ceará,Juventude,2.0,0.0,Vitória Mandante,2.0
2021-07-03,Atl Paranaense,Fortaleza,2.0,1.0,Vitória Mandante,3.0
2021-07-03,América (MG),Santos,2.0,0.0,Vitória Mandante,2.0
2021-07-02,Cuiaba,Flamengo,0.0,2.0,Vitória Visitante,2.0
2021-07-01,Atlético Mineiro,Atl Goianiense,4.0,1.0,Vitória Mandante,5.0
2021-07-01,Bragantino,Ceará,0.0,0.0,Empate,0.0
2021-07-01,Juventude,Grêmio,2.0,0.0,Vitória Mandante,2.0
2021-07-01,Corinthians,São Paulo,0.0,0.0,Empate,0.0
2021-07-01,Santos,Sport Recife,0.0,0.0,Empate,0.0
2021-06-30,Bahia,América (MG),3.0,4.0,Vitória Visitante,7.0
2021-06-30,Fortaleza,Chapecoense,3.0,2.0,Vitória Mandante,5.0
2021-06-30,Fluminense,Atl Paranaense,1.0,4.0,Vitória Visitante,5.0
2021-06-30,Internacional,Palmeiras,1.0,2.0,Vitória Visitante,3.0
2021-06-29,Atl Goianiense,Bragantino,0.0,1.0,Vitória Visitante,1.0
2021-06-28,Sport Recife,Cuiaba,0.0,0.0,Empate,0.0
2021-06-28,Santos,Atlético Mineiro,2.0,0.0,Vitória Mandante,2.0
2021-06-28,Ceará,São Paulo,1.0,1.0,Empate,2.0
2021-06-28,América (MG),Internacional,1.0,1.0,Empate,2.0
2021-06-28,Palmeiras,Bahia,3.0,2.0,Vitória Mandante,5.0
2021-06-28,Grêmio,Fortaleza,0.0,0.0,Empate,0.0
2021-06-28,Atl Paranaense,Chapecoense,2.0,2.0,Empate,4.0
2021-06-27,Fluminense,Corinthians,1.0,1.0,Empate,2.0
2021-06-27,Juventude,Flamengo,1.0,0.0,Vitória Mandante,1.0
2021-06-25,Bahia,Atl Paranaense,2.0,1.0,Vitória Mandante,3.0
2021-06-25,Grêmio,Santos,2.0,2.0,Empate,4.0
2021-06-24,Chapecoense,Internacional,1.0,2.0,Vitória Visitante,3.0
2021-06-24,Ceará,Atlético Mineiro,2.0,1.0,Vitória Mandante,3.0
2021-06-24,América (MG),Juventude,1.0,1.0,Empate,2.0
2021-06-24,Corinthians,Sport Recife,2.0,1.0,Vitória Mandante,3.0
2021-06-23,São Paulo,Cuiaba,2.0,2.0,Empate,4.0
2021-06-23,Flamengo,Fortaleza,2.0,1.0,Vitória Mandante,3.0
2021-06-23,Bragantino,Palmeiras,3.0,1.0,Vitória Mandante,4.0
2021-06-23,Atl Goianiense,Fluminense,1.0,0.0,Vitória Mandante,1.0
