data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_partida
2021-02-21,Corinthians,Vasco,0.0,0.0,Empate,0.0
2021-02-21,Flamengo,Internacional,2.0,1.0,Vitória Mandante,3.0
2021-02-21,Goias,Bragantino,0.0,0.0,Empate,0.0
2021-02-21,Grêmio,Atl Paranaense,1.0,0.0,Vitória Mandante,1.0
2021-02-21,Santos,Fluminense,1.0,1.0,Empate,2.0
2021-02-20,Coritiba,Ceará,0.0,2.0,Vitória Visitante,2.0
2021-02-20,São Paulo,Palmeiras,1.0,1.0,Empate,2.0
2021-02-17,Coritiba,Palmeiras,1.0,0.0,Vitória Mandante,1.0
2021-02-17,Santos,Corinthians,1.0,0.0,Vitória Mandante,1.0
2021-02-15,Sport Recife,Bragantino,0.0,0.0,Empate,0.0
2021-02-15,Ceará,Fluminense,1.0,3.0,Vitória Visitante,4.0
2021-02-14,Atl Paranaense,Atl Goianiense,2.0,1.0,Vitória Mandante,3.0
2021-02-14,Flamengo,Corinthians,2.0,1.0,Vitória Mandante,3.0
2021-02-14,Vasco,Internacional,0.0,2.0,Vitória Visitante,2.0
2021-02-14,Palmeiras,Fortaleza,3.0,0.0,Vitória Mandante,3.0
2021-02-14,Grêmio,São Paulo,1.0,2.0,Vitória Visitante,3.0
2021-02-13,Santos,Coritiba,2.0,0.0,Vitória Mandante,2.0
2021-02-13,Atlético Mineiro,Bahia,1.0,1.0,Empate,2.0
2021-02-13,Goias,Botafogo RJ,2.0,0.0,Vitória Mandante,2.0
2021-02-11,Fluminense,Atlético Mineiro,0.0,0.0,Empate,0.0
2021-02-11,Corinthians,Atl Paranaense,3.0,3.0,Empate,6.0
2021-02-11,São Paulo,Ceará,1.0,1.0,Empate,2.0
2021-02-10,Fortaleza,Vasco,3.0,0.0,Vitória Mandante,3.0
2021-02-10,Internacional,Sport Recife,1.0,2.0,Vitória Visitante,3.0
2021-02-08,Botafogo RJ,Grêmio,2.0,5.0,Vitória Visitante,7.0
2021-02-07,Atl Goianiense,Santos,1.0,1.0,Empate,2.0
2021-02-07,Bragantino,Flamengo,1.0,1.0,Empate,2.0
2021-02-06,Bahia,Goias,3.0,3.0,Empate,6.0
2021-02-05,Flamengo,Vasco,2.0,0.0,Vitória Mandante,2.0
2021-02-05,Atl Paranaense,Internacional,0.0,0.0,Empate,0.0
2021-02-05,Botafogo RJ,Sport Recife,0.0,1.0,Vitória Visitante,1.0
2021-02-04,Fortaleza,Coritiba,3.0,1.0,Vitória Mandante,4.0
2021-02-04,Goias,Atlético Mineiro,1.0,0.0,Vitória Mandante,1.0
2021-02-04,Corinthians,Ceará,2.0,1.0,Vitória Mandante,3.0
2021-02-04,Bahia,Fluminense,0.0,1.0,Vitória Visitante,1.0
2021-02-03,Bragantino,Atl Goianiense,2.0,0.0,Vitória Mandante,2.0
2021-02-03,Grêmio,Santos,3.0,3.0,Empate,6.0
2021-02-02,Palmeiras,Botafogo RJ,1.0,1.0,Empate,2.0
2021-02-01,Sport Recife,Flamengo,0.0,3.0,Vitória Visitante,3.0
2021-01-31,Atlético Mineiro,Fortaleza,2.0,0.0,Vitória Mandante,2.0
2021-01-31,Coritiba,Grêmio,1.0,1.0,Empate,2.0
2021-01-31,Atl Goianiense,São Paulo,2.0,1.0,Vitória Mandante,3.0
2021-01-31,Ceará,Atl Paranaense,0.0,2.0,Vitória Visitante,2.0
2021-01-31,Fluminense,Goias,3.0,0.0,Vitória Mandante,3.0
2021-01-31,Vasco,Bahia,0.0,0.0,Empate,0.0
2021-01-31,Internacional,Bragantino,2.0,1.0,Vitória Mandante,3.0
2021-01-28,Grêmio,Flamengo,2.0,4.0,Vitória Visitante,6.0
2021-01-28,Bahia,Corinthians,2.0,1.0,Vitória Mandante,3.0
2021-01-26,Palmeiras,Vasco,1.0,1.0,Empate,2.0
2021-01-26,Atlético Mineiro,Santos,2.0,0.0,Vitória Mandante,2.0
2021-01-25,Corinthians,Bragantino,0.0,2.0,Vitória Visitante,2.0
2021-01-24,Atl Paranaense,Flamengo,2.0,1.0,Vitória Mandante,3.0
2021-01-24,Santos,Goias,3.0,4.0,Vitória Visitante,7.0
2021-01-24,Vasco,Atlético Mineiro,3.0,2.0,Vitória Mandante,5.0
2021-01-24,Internacional,Grêmio,2.0,1.0,Vitória Mandante,3.0
2021-01-24,Ceará,Palmeiras,2.0,1.0,Vitória Mandante,3.0
2021-01-24,Sport Recife,Bahia,2.0,0.0,Vitória Mandante,2.0
2021-01-24,Atl Goianiense,Fortaleza,2.0,0.0,Vitória Mandante,2.0
2021-01-24,Fluminense,Botafogo RJ,2.0,0.0,Vitória Mandante,2.0
2021-01-23,São Paulo,Coritiba,1.0,1.0,Empate,2.0
2021-01-22,Corinthians,Sport Recife,3.0,0.0,Vitória Mandante,3.0
2021-01-21,Goias,Ceará,0.0,4.0,Vitória Visitante,4.0
2021-01-21,Fortaleza,Santos,2.0,0.0,Vitória Mandante,2.0
2021-01-21,Flamengo,Palmeiras,2.0,0.0,Vitória Mandante,2.0
2021-01-21,São Paulo,Internacional,1.0,5.0,Vitória Visitante,6.0
