,clube,data,local,resultado,gols_marcados,gols_sofridos,oponente,posse,gols_partida,escanteios,passes_certos_%,total_chutes,chutes_a_gol,chutes_ao_gol_%,gols_por_chute_ao_gol_%,escudo
1,Paris S-G,2020-09-16,Em casa,V,1.0,0.0,Metz,71.0,1.0,8,85.1,20,8,40.0,13,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/e2d8892c.png
2,Paris S-G,2020-09-10,Visitante,D,0.0,1.0,Lens,77.0,1.0,2,90.6,8,1,12.5,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/e2d8892c.png
3,Paris S-G,2020-09-13,Em casa,D,0.0,1.0,Marseille,64.0,1.0,4,85.8,14,4,28.6,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/e2d8892c.png
4,Paris S-G,2020-09-20,Visitante,V,3.0,0.0,Nice,50.0,3.0,7,90.1,13,5,38.5,40,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/e2d8892c.png
5,Paris S-G,2020-09-27,Visitante,V,2.0,0.0,Reims,64.0,2.0,7,89.8,22,8,36.4,25,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/e2d8892c.png
6,Paris S-G,2020-10-02,Em casa,V,6.0,1.0,Angers,57.0,7.0,6,89.9,18,12,66.7,50,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/e2d8892c.png
7,Paris S-G,2020-10-16,Visitante,V,4.0,0.0,Nîmes,74.0,4.0,9,89.3,30,11,36.7,36,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/e2d8892c.png
8,Paris S-G,2020-10-24,Em casa,V,4.0,0.0,Dijon,55.0,4.0,4,89.2,20,9,45.0,44,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/e2d8892c.png
9,Paris S-G,2020-10-31,Visitante,V,3.0,0.0,Nantes,63.0,3.0,4,89.5,12,3,25.0,67,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/e2d8892c.png
10,Paris S-G,2020-11-07,Em casa,V,3.0,0.0,Rennes,49.0,3.0,2,85.6,10,6,60.0,50,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/e2d8892c.png
11,Paris S-G,2020-11-20,Visitante,D,2.0,3.0,Monaco,48.0,5.0,1,84.9,8,3,37.5,33,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/e2d8892c.png
12,Paris S-G,2020-11-28,Em casa,E,2.0,2.0,Bordeaux,65.0,4.0,14,85.2,15,8,53.3,13,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/e2d8892c.png
13,Paris S-G,2020-12-05,Visitante,V,3.0,1.0,Montpellier,64.0,4.0,3,88.6,13,6,46.2,50,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/e2d8892c.png
14,Paris S-G,2020-12-13,Em casa,D,0.0,1.0,Lyon,62.0,1.0,5,88.2,7,1,14.3,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/e2d8892c.png
15,Paris S-G,2020-12-16,Em casa,V,2.0,0.0,Lorient,74.0,2.0,9,89.8,23,7,30.4,14,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/e2d8892c.png
16,Paris S-G,2020-12-20,Visitante,E,0.0,0.0,Lille,69.0,0.0,5,88.3,8,1,12.5,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/e2d8892c.png
17,Paris S-G,2020-12-23,Em casa,V,4.0,0.0,Strasbourg,69.0,4.0,5,91.8,17,8,47.1,50,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/e2d8892c.png
18,Paris S-G,2021-01-06,Visitante,E,1.0,1.0,Saint-Étienne,69.0,2.0,10,87.0,11,4,36.4,25,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/e2d8892c.png
19,Paris S-G,2021-01-09,Em casa,V,3.0,0.0,Brest,62.0,3.0,7,88.9,22,11,50.0,27,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/e2d8892c.png
20,Paris S-G,2021-01-16,Visitante,V,1.0,0.0,Angers,61.0,1.0,7,87.4,11,3,27.3,33,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/e2d8892c.png
21,Paris S-G,2021-01-22,Em casa,V,4.0,0.0,Montpellier,72.0,4.0,8,89.0,26,8,30.8,50,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/e2d8892c.png
22,Paris S-G,2021-01-31,Visitante,D,2.0,3.0,Lorient,64.0,5.0,9,85.6,12,1,8.3,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/e2d8892c.png
23,Paris S-G,2021-02-03,Em casa,V,3.0,0.0,Nîmes,66.0,3.0,4,90.3,14,6,42.9,50,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/e2d8892c.png
24,Paris S-G,2021-02-07,Visitante,V,2.0,0.0,Marseille,47.0,2.0,1,85.7,9,2,22.2,100,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/e2d8892c.png
25,Paris S-G,2021-02-13,Em casa,V,2.0,1.0,Nice,54.0,3.0,4,90.1,17,4,23.5,50,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/e2d8892c.png
26,Paris S-G,2021-02-21,Em casa,D,0.0,2.0,Monaco,74.0,2.0,3,89.2,10,1,10.0,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/e2d8892c.png
27,Paris S-G,2021-02-27,Visitante,V,4.0,0.0,Dijon,60.0,4.0,4,90.6,6,4,66.7,75,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/e2d8892c.png
28,Paris S-G,2021-03-03,Visitante,V,1.0,0.0,Bordeaux,57.0,1.0,1,87.5,11,3,27.3,33,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/e2d8892c.png
1,Lyon,2020-09-15,Visitante,D,1.0,2.0,Montpellier,56.0,3.0,11,84.4,18,6,33.3,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/d53c0b06.png
2,Lyon,2020-08-28,Em casa,V,4.0,1.0,Dijon,63.0,5.0,13,85.3,25,9,36.0,11,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/d53c0b06.png
3,Lyon,2020-09-11,Visitante,E,0.0,0.0,Bordeaux,54.0,0.0,5,81.5,20,2,10.0,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/d53c0b06.png
4,Lyon,2020-09-18,Em casa,E,0.0,0.0,Nîmes,72.0,0.0,9,83.8,13,3,23.1,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/d53c0b06.png
5,Lyon,2020-09-27,Visitante,E,1.0,1.0,Lorient,68.0,2.0,5,89.0,19,6,31.6,17,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/d53c0b06.png
6,Lyon,2020-10-04,Em casa,E,1.0,1.0,Marseille,67.0,2.0,19,83.9,23,2,8.7,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/d53c0b06.png
7,Lyon,2020-10-18,Visitante,V,3.0,2.0,Strasbourg,48.0,5.0,2,74.9,14,6,42.9,50,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/d53c0b06.png
8,Lyon,2020-10-25,Em casa,V,4.0,1.0,Monaco,35.0,5.0,2,77.3,14,5,35.7,60,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/d53c0b06.png
9,Lyon,2020-11-01,Visitante,E,1.0,1.0,Lille,40.0,2.0,4,80.1,8,1,12.5,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/d53c0b06.png
10,Lyon,2020-11-08,Em casa,V,2.0,1.0,Saint-Étienne,60.0,3.0,3,81.5,18,6,33.3,33,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/d53c0b06.png
11,Lyon,2020-11-22,Visitante,V,1.0,0.0,Angers,50.0,1.0,3,80.4,5,2,40.0,50,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/d53c0b06.png
12,Lyon,2020-11-29,Em casa,V,3.0,0.0,Reims,64.0,3.0,4,89.6,16,4,25.0,75,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/d53c0b06.png
13,Lyon,2020-12-06,Visitante,V,3.0,1.0,Metz,53.0,4.0,6,86.0,18,5,27.8,60,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/d53c0b06.png
14,Lyon,2020-12-13,Visitante,V,1.0,0.0,Paris S-G,38.0,1.0,5,75.4,9,5,55.6,20,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/d53c0b06.png
15,Lyon,2020-12-16,Em casa,E,2.0,2.0,Brest,56.0,4.0,12,84.6,27,10,37.0,10,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/d53c0b06.png
16,Lyon,2020-12-19,Visitante,V,4.0,1.0,Nice,45.0,5.0,2,87.4,12,8,66.7,38,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/d53c0b06.png
17,Lyon,2020-12-23,Em casa,V,3.0,0.0,Nantes,65.0,3.0,9,89.3,22,11,50.0,27,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/d53c0b06.png
18,Lyon,2021-01-06,Em casa,V,3.0,2.0,Lens,50.0,5.0,7,82.7,11,5,45.5,20,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/d53c0b06.png
19,Lyon,2021-01-09,Visitante,E,2.0,2.0,Rennes,46.0,4.0,5,81.0,13,4,30.8,50,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/d53c0b06.png
20,Lyon,2021-01-17,Em casa,D,0.0,1.0,Metz,63.0,1.0,9,83.0,23,6,26.1,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/d53c0b06.png
21,Lyon,2021-01-24,Visitante,V,5.0,0.0,Saint-Étienne,60.0,5.0,8,84.3,18,11,61.1,36,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/d53c0b06.png
22,Lyon,2021-01-29,Em casa,V,2.0,1.0,Bordeaux,56.0,3.0,7,83.6,10,4,40.0,50,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/d53c0b06.png
23,Lyon,2021-02-03,Visitante,V,1.0,0.0,Dijon,62.0,1.0,6,86.6,17,9,52.9,11,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/d53c0b06.png
24,Lyon,2021-02-06,Em casa,V,3.0,0.0,Strasbourg,69.0,3.0,6,88.3,16,8,50.0,38,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/d53c0b06.png
25,Lyon,2021-02-13,Em casa,D,1.0,2.0,Montpellier,55.0,3.0,6,82.9,24,8,33.3,13,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/d53c0b06.png
26,Lyon,2021-02-19,Visitante,V,3.0,2.0,Brest,49.0,5.0,7,81.4,15,6,40.0,33,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/d53c0b06.png
27,Lyon,2021-02-28,Visitante,E,1.0,1.0,Marseille,47.0,2.0,2,80.2,11,1,9.1,100,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/d53c0b06.png
28,Lyon,2021-03-03,Em casa,V,1.0,0.0,Rennes,47.0,1.0,6,80.2,14,7,50.0,14,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/d53c0b06.png
1,Monaco,2020-08-23,Em casa,E,2.0,2.0,Reims,75.0,4.0,8,89.3,22,5,22.7,40,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/fd6114db.png
2,Monaco,2020-08-30,Visitante,V,1.0,0.0,Metz,46.0,1.0,1,74.4,3,2,66.7,50,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/fd6114db.png
3,Monaco,2020-09-13,Em casa,V,2.0,1.0,Nantes,57.0,3.0,9,84.0,18,5,27.8,40,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/fd6114db.png
4,Monaco,2020-09-19,Visitante,D,1.0,2.0,Rennes,42.0,3.0,10,79.8,14,2,14.3,50,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/fd6114db.png
5,Monaco,2020-09-27,Em casa,V,3.0,2.0,Strasbourg,57.0,5.0,6,84.0,11,5,45.5,60,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/fd6114db.png
6,Monaco,2020-10-04,Visitante,D,0.0,1.0,Brest,70.0,1.0,8,85.9,20,2,10.0,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/fd6114db.png
7,Monaco,2020-10-18,Em casa,E,1.0,1.0,Montpellier,79.0,2.0,10,84.6,20,7,35.0,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/fd6114db.png
8,Monaco,2020-10-25,Visitante,D,1.0,4.0,Lyon,65.0,5.0,12,84.4,17,4,23.5,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/fd6114db.png
9,Monaco,2020-11-01,Em casa,V,4.0,0.0,Bordeaux,52.0,4.0,10,83.8,16,5,31.3,60,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/fd6114db.png
