data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_mandante_primeiro_tempo,gols_visitante_primeiro_tempo,resultado_primeiro_tempo,chutes_mandante,chutes_visitante,chutes_no_gol_mandante,chutes_no_gol_visitante,escanteios_mandante,escanteios_visitante,faltas_cometidas_mandante,faltas_cometidas_visitante,cartoes_amarelos_mandante,cartoes_amarelos_visitante,cartoes_vermelhos_mandante,cartoes_vermelhos_visitante
04/02/18,Getafe,Leganes,0,0,Empate,0,0,D,11,2,1,1,5,2,17,20,2,6,0,0
04/02/18,Girona,Athletic Club,2,0,Vitória Mandante,1,0,H,8,9,3,0,2,4,13,14,1,1,0,0
05/02/18,Las Palmas,Malaga,1,0,Vitória Mandante,0,0,D,11,9,4,3,4,2,11,17,2,3,0,0
09/02/18,Athletic Club,Las Palmas,0,0,Empate,0,0,D,11,8,5,2,5,2,20,29,4,4,0,0
10/02/18,Leganes,Eibar,0,1,Vitória Visitante,0,0,D,2,19,0,6,1,10,14,6,4,2,1,0
10/02/18,Malaga,Atlético Madrid,0,1,Vitória Visitante,0,1,A,13,5,3,1,3,3,22,19,3,2,0,0
10/02/18,Real Madrid,Real Sociedad,5,2,Vitória Mandante,4,0,H,18,8,9,3,5,3,11,10,2,1,0,0
10/02/18,Villarreal,Alavés,1,2,Vitória Visitante,0,1,A,27,5,6,4,13,2,15,15,4,4,0,0
11/02/18,Barcelona,Getafe,0,0,Empate,0,0,D,12,10,6,1,9,3,7,13,2,3,0,0
11/02/18,Celta Vigo,Espanol,2,2,Empate,1,1,D,18,3,7,2,9,1,9,16,3,4,0,0
11/02/18,Sevilla,Girona,1,0,Vitória Mandante,0,0,D,13,14,4,6,7,2,13,19,2,2,0,0
11/02/18,Valencia,Levante,3,1,Vitória Mandante,1,1,D,18,5,8,1,7,9,10,19,3,4,0,0
12/02/18,La Coruna,Betis,0,1,Vitória Visitante,0,0,D,16,10,2,4,8,1,19,7,2,0,0,0
16/02/18,Girona,Leganes,3,0,Vitória Mandante,2,0,H,10,10,5,5,4,4,12,10,3,5,0,0
17/02/18,Alavés,La Coruna,1,0,Vitória Mandante,0,0,D,14,5,3,0,9,3,17,14,2,3,0,0
17/02/18,Eibar,Barcelona,0,2,Vitória Visitante,0,1,A,13,10,3,6,6,0,13,6,3,1,1,0
17/02/18,Las Palmas,Sevilla,1,2,Vitória Visitante,0,1,A,11,12,3,6,7,5,15,18,2,5,0,0
17/02/18,Malaga,Valencia,1,2,Vitória Visitante,1,0,H,9,10,3,3,7,2,19,18,2,4,1,0
