data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_mandante_primeiro_tempo,gols_visitante_primeiro_tempo,resultado_primeiro_tempo,chutes_mandante,chutes_visitante,chutes_no_gol_mandante,chutes_no_gol_visitante,escanteios_mandante,escanteios_visitante,faltas_cometidas_mandante,faltas_cometidas_visitante,cartoes_amarelos_mandante,cartoes_amarelos_visitante,cartoes_vermelhos_mandante,cartoes_vermelhos_visitante,escanteios_partida,gols_partida,total_cartões_mandante,total_cartões_visitante,total_cartoes_partida
2021-08-03,Inter,Atalanta,1,0,Vitória Mandante,0,0,D,5,10,1,3,7,7,11,17,0,1,0,0,14,1,0,1,1
2021-07-04,Juventus,Napoli,2,1,Vitória Mandante,1,0,H,12,15,3,5,2,6,17,12,1,2,0,0,8,3,1,2,3
2021-07-04,Inter,Sassuolo,2,1,Vitória Mandante,1,0,H,8,14,5,5,1,8,8,13,2,3,0,0,9,3,2,3,5
2021-07-03,Hellas Verona,Milan,0,2,Vitória Visitante,0,1,A,8,12,1,4,8,1,14,12,2,0,0,0,9,2,2,0,2
2021-07-03,Napoli,Bologna,3,1,Vitória Mandante,1,0,H,15,17,8,7,6,3,12,13,2,0,0,0,9,4,2,0,2
2021-07-03,Fiorentina,Parma,3,3,Empate,2,1,H,6,11,5,6,3,3,19,16,0,3,0,0,6,6,0,3,3
2021-07-03,Crotone,Torino,4,2,Vitória Mandante,1,1,D,19,17,10,6,8,8,19,22,4,2,0,1,16,6,4,3,7
2021-07-03,Roma,Genoa,1,0,Vitória Mandante,1,0,H,18,7,4,2,7,1,15,15,1,4,0,0,8,1,1,4,5
2021-07-03,Sampdoria,Cagliari,2,2,Empate,0,1,A,11,10,5,5,3,5,15,13,4,3,0,0,8,4,4,3,7
2021-07-02,Benevento,Sampdoria,1,1,Empate,0,0,D,9,10,3,5,2,10,17,14,4,2,0,0,12,2,4,2,6
2021-07-02,Milan,Crotone,4,0,Vitória Mandante,1,0,H,21,9,12,2,8,6,17,9,3,1,0,0,14,4,3,1,4
2021-07-02,Udinese,Hellas Verona,2,0,Vitória Mandante,0,0,D,14,5,8,1,10,8,9,15,2,4,0,0,18,2,2,4,6
2021-07-02,Parma,Bologna,0,3,Vitória Visitante,0,2,A,16,15,8,7,5,1,13,13,2,1,0,0,6,3,2,1,3
2021-07-02,Lazio,Cagliari,1,0,Vitória Mandante,0,0,D,14,7,6,3,12,2,16,14,2,2,0,0,14,1,2,2,4
2021-06-03,Udinese,Sassuolo,2,0,Vitória Mandante,1,0,H,12,8,8,2,5,6,10,11,1,0,0,0,11,2,1,0,1
2021-06-03,Spezia,Benevento,1,1,Empate,0,1,A,14,5,7,2,3,1,13,17,2,4,0,0,4,2,2,4,6
2021-06-03,Juventus,Lazio,3,1,Vitória Mandante,1,1,D,8,13,5,5,4,4,10,13,0,1,0,0,8,4,0,1,1
2021-06-02,Genoa,Napoli,2,1,Vitória Mandante,2,0,H,4,24,2,11,1,6,13,11,2,3,0,0,7,3,2,3,5
2021-06-02,Atalanta,Torino,3,3,Empate,3,2,H,9,19,4,11,4,3,24,17,3,2,0,0,7,6,3,2,5
2021-06-02,Sassuolo,Spezia,1,2,Vitória Visitante,1,1,D,8,13,4,7,5,5,20,15,2,3,0,0,10,3,2,3,5
2021-06-02,Juventus,Roma,2,0,Vitória Mandante,1,0,H,3,14,3,3,2,9,9,13,2,2,0,0,11,2,2,2,4
2021-06-01,Cagliari,Benevento,1,2,Vitória Visitante,1,2,A,10,9,5,3,7,6,18,12,4,3,1,0,13,3,5,3,8
2021-06-01,Lazio,Fiorentina,2,1,Vitória Mandante,1,0,H,11,9,6,8,2,9,11,11,3,1,0,0,11,3,3,1,4
2021-06-01,Bologna,Udinese,2,2,Empate,2,1,H,10,12,7,9,4,6,16,13,4,3,1,0,10,4,5,3,8
2021-06-01,Crotone,Roma,1,3,Vitória Visitante,0,3,A,12,10,5,5,3,4,15,16,2,3,0,0,7,4,2,3,5
2021-06-01,Sampdoria,Inter,2,1,Vitória Mandante,2,0,H,8,23,6,11,4,10,13,18,3,4,0,0,14,3,3,4,7
2021-06-01,Sassuolo,Genoa,2,1,Vitória Mandante,0,0,D,13,7,6,3,8,2,14,10,3,3,0,0,10,3,3,3,6
2021-06-01,Torino,Hellas Verona,1,1,Empate,0,0,D,15,8,5,2,9,3,12,18,1,3,0,0,12,2,1,3,4
2021-06-01,Napoli,Spezia,1,2,Vitória Visitante,0,0,D,27,8,11,4,10,2,9,16,2,5,0,1,12,3,2,6,8
2021-06-01,Milan,Juventus,1,3,Vitória Visitante,1,1,D,18,13,7,10,7,4,17,12,1,2,0,0,11,4,1,2,3
2021-06-01,Atalanta,Parma,3,0,Vitória Mandante,1,0,H,17,3,6,1,12,3,10,6,1,1,0,0,15,3,1,1,2
2021-05-23,Torino,Benevento,1,1,Empate,1,0,H,12,9,7,3,8,3,17,10,0,2,0,0,11,2,0,2,2
2021-05-23,Spezia,Roma,2,2,Empate,2,0,H,18,14,9,10,5,2,13,14,0,1,0,0,7,4,0,1,1
2021-05-23,Sassuolo,Lazio,2,0,Vitória Mandante,1,0,H,10,9,5,2,3,3,11,15,2,1,1,0,6,2,3,1,4
2021-05-23,Napoli,Hellas Verona,1,1,Empate,0,0,D,16,7,3,4,5,3,13,25,3,4,0,0,8,2,3,4,7
