,clube,data,local,resultado,gols_marcados,gols_sofridos,oponente,posse,gols_partida,escanteios,passes_certos_%,total_chutes,chutes_a_gol,chutes_ao_gol_%,gols_por_chute_ao_gol_%,escudo
19,Athletic Club,2020-12-15,Visitante,D,1.0,3.0,Real Madrid,32.0,4.0,6,75.7,10.0,4.0,40.0,25.0,
20,Athletic Club,2021-01-25,Em casa,V,5.0,1.0,Getafe,53.0,6.0,4,73.6,11.0,8.0,72.7,63.0,
21,Athletic Club,2021-01-31,Visitante,D,1.0,2.0,Barcelona,42.0,3.0,3,81.0,7.0,2.0,28.6,0.0,
22,Athletic Club,2021-02-07,Em casa,E,1.0,1.0,Valencia,49.0,2.0,6,77.9,11.0,2.0,18.2,0.0,
23,Athletic Club,2021-02-15,Visitante,V,4.0,0.0,Cádiz,58.0,4.0,8,80.8,13.0,7.0,53.8,57.0,
24,Athletic Club,2021-02-21,Em casa,E,1.0,1.0,Villarreal,49.0,2.0,6,85.0,18.0,8.0,44.4,13.0,
25,Athletic Club,2021-02-26,Visitante,E,1.0,1.0,Levante,56.0,2.0,10,80.3,10.0,4.0,40.0,0.0,
1,Celta Vigo,2020-09-12,Visitante,E,0.0,0.0,Eibar,51.0,0.0,3,62.6,6.0,3.0,50.0,0.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/f25da7fb.png
2,Celta Vigo,2020-09-19,Em casa,V,2.0,1.0,Valencia,51.0,3.0,6,79.8,23.0,6.0,26.1,33.0,
3,Celta Vigo,2020-09-27,Visitante,E,1.0,1.0,Valladolid,47.0,2.0,1,70.6,5.0,1.0,20.0,100.0,
4,Celta Vigo,2020-10-01,Em casa,D,0.0,3.0,Barcelona,43.0,3.0,3,80.9,10.0,3.0,30.0,0.0,
5,Celta Vigo,2020-10-04,Visitante,D,0.0,2.0,Osasuna,60.0,2.0,5,78.2,9.0,4.0,44.4,0.0,
6,Celta Vigo,2020-10-17,Em casa,D,0.0,2.0,Atlético Madrid,50.0,2.0,8,81.8,15.0,5.0,33.3,0.0,
7,Celta Vigo,2020-10-26,Visitante,E,1.0,1.0,Levante,42.0,2.0,2,70.2,10.0,3.0,30.0,33.0,
8,Celta Vigo,2020-11-01,Em casa,D,1.0,4.0,Real Sociedad,46.0,5.0,2,77.4,8.0,1.0,12.5,0.0,
9,Celta Vigo,2020-11-06,Visitante,E,1.0,1.0,Elche,48.0,2.0,3,82.0,14.0,6.0,42.9,17.0,
10,Celta Vigo,2020-11-21,Visitante,D,2.0,4.0,Sevilla,42.0,6.0,2,77.5,10.0,7.0,70.0,29.0,
11,Celta Vigo,2020-11-29,Em casa,V,3.0,1.0,Granada,66.0,4.0,8,83.4,18.0,8.0,44.4,38.0,
12,Celta Vigo,2020-12-04,Visitante,V,2.0,0.0,Athletic Club,49.0,2.0,5,77.9,6.0,4.0,66.7,50.0,
13,Celta Vigo,2020-12-14,Em casa,V,4.0,0.0,Cádiz,60.0,4.0,1,84.0,6.0,3.0,50.0,100.0,
