,clube,data,local,resultado,gols_marcados,gols_sofridos,oponente,posse,gols_partida,escanteios,passes_certos_%,total_chutes,chutes_a_gol,chutes_ao_gol_%,gols_por_chute_ao_gol_%,escudo
9,Union Berlin,2020-11-28,Em casa,E,3.0,3.0,Eint Frankfurt,45.0,6.0,4,71.3,14.0,6.0,42.9,33.0,
10,Union Berlin,2020-12-04,Visitante,D,1.0,3.0,Hertha BSC,32.0,4.0,2,68.5,5.0,1.0,20.0,100.0,
11,Union Berlin,2020-12-12,Em casa,E,1.0,1.0,Bayern Munich,33.0,2.0,4,69.5,12.0,5.0,41.7,20.0,
12,Union Berlin,2020-12-15,Visitante,E,2.0,2.0,Stuttgart,39.0,4.0,3,67.0,14.0,5.0,35.7,40.0,
13,Union Berlin,2020-12-18,Em casa,V,2.0,1.0,Dortmund,30.0,3.0,8,62.3,12.0,5.0,41.7,40.0,
14,Union Berlin,2021-01-02,Visitante,V,2.0,0.0,Werder Bremen,43.0,2.0,5,66.7,9.0,2.0,22.2,100.0,
15,Union Berlin,2021-01-09,Em casa,E,2.0,2.0,Wolfsburg,47.0,4.0,5,73.9,13.0,6.0,46.2,33.0,
16,Union Berlin,2021-01-15,Em casa,V,1.0,0.0,Leverkusen,34.0,1.0,2,67.7,11.0,3.0,27.3,33.0,
17,Union Berlin,2021-01-20,Visitante,D,0.0,1.0,RB Leipzig,33.0,1.0,1,77.3,4.0,1.0,25.0,0.0,
18,Union Berlin,2021-01-23,Visitante,D,1.0,2.0,Augsburg,64.0,3.0,3,77.7,8.0,4.0,50.0,25.0,
19,Union Berlin,2021-01-30,Em casa,E,1.0,1.0,M'Gladbach,43.0,2.0,2,80.3,13.0,2.0,15.4,50.0,
20,Union Berlin,2021-02-06,Visitante,D,0.0,1.0,Mainz 05,58.0,1.0,1,75.7,10.0,4.0,40.0,0.0,
21,Union Berlin,2021-02-13,Em casa,E,0.0,0.0,Schalke 04,38.0,0.0,1,70.4,20.0,3.0,15.0,0.0,
22,Union Berlin,2021-02-20,Visitante,V,1.0,0.0,Freiburg,35.0,1.0,4,74.1,15.0,4.0,26.7,25.0,
23,Union Berlin,2021-02-28,Em casa,E,1.0,1.0,Hoffenheim,48.0,2.0,3,74.0,,,,,
1,Freiburg,2020-09-19,Visitante,V,3.0,2.0,Stuttgart,36.0,5.0,2,70.6,7,5,71.4,60,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/a486e511.png
2,Freiburg,2020-09-27,Em casa,E,1.0,1.0,Wolfsburg,52.0,2.0,9,77.5,19,7,36.8,14,
3,Freiburg,2020-10-03,Visitante,D,0.0,4.0,Dortmund,34.0,4.0,2,79.6,6,2,33.3,0,
4,Freiburg,2020-10-17,Em casa,E,1.0,1.0,Werder Bremen,63.0,2.0,4,81.5,20,4,20.0,25,
5,Freiburg,2020-10-24,Visitante,E,1.0,1.0,Union Berlin,50.0,2.0,2,75.5,8,4,50.0,25,
