clube,data,rodada,local,resultado,gols_marcados,gols_sofridos,oponente,posse,gols_partida,escudo
Monaco,2021-03-19,30,Visitante,V,4,0,Saint-Étienne,60,4,
Monaco,2021-03-14,29,Em casa,E,0,0,Lille,62,0,
Monaco,2021-03-03,28,Visitante,D,0,1,Strasbourg,61,1,
Monaco,2021-02-28,27,Em casa,V,2,0,Brest,63,2,
Monaco,2021-02-21,26,Visitante,V,2,0,Paris S-G,26,2,
Monaco,2021-02-14,25,Em casa,E,2,2,Lorient,70,4,
Monaco,2021-02-07,24,Visitante,V,4,3,Nîmes,56,7,
Monaco,2021-02-03,23,Em casa,V,2,1,Nice,42,3,
Monaco,2021-01-31,22,Visitante,V,2,1,Nantes,68,3,
Monaco,2021-01-23,21,Em casa,V,3,1,Marseille,54,4,
Monaco,2021-01-15,20,Visitante,V,3,2,Montpellier,48,5,
Monaco,2021-01-09,19,Em casa,V,3,0,Angers,56,3,
Monaco,2021-01-06,18,Visitante,V,5,2,Lorient,58,7,
Monaco,2020-12-23,17,Em casa,E,2,2,Saint-Étienne,40,4,
Monaco,2020-12-20,16,Visitante,V,1,0,Dijon,47,1,
Monaco,2020-12-16,15,Em casa,D,0,3,Lens,33,3,
Monaco,2020-12-12,14,Visitante,D,1,2,Marseille,60,3,
Monaco,2020-12-06,13,Visitante,D,1,2,Lille,58,3,
Monaco,2020-11-29,12,Em casa,V,3,0,Nîmes,67,3,
Monaco,2020-11-20,11,Em casa,V,3,2,Paris S-G,52,5,
Monaco,2020-11-08,10,Visitante,V,2,1,Nice,37,3,
Monaco,2020-11-01, 9,Em casa,V,4,0,Bordeaux,52,4,
Monaco,2020-10-25, 8,Visitante,D,1,4,Lyon,65,5,
Monaco,2020-10-18, 7,Em casa,E,1,1,Montpellier,79,2,
Monaco,2020-10-04, 6,Visitante,D,0,1,Brest,70,1,
Monaco,2020-09-27, 5,Em casa,V,3,2,Strasbourg,57,5,
Monaco,2020-09-19, 4,Visitante,D,1,2,Rennes,42,3,
Monaco,2020-09-13, 3,Em casa,V,2,1,Nantes,57,3,
Monaco,2020-08-30, 2,Visitante,V,1,0,Metz,46,1,
Monaco,2020-08-23, 1,Em casa,E,2,2,Reims,75,4,
Lyon,2021-05-23,38,Em casa,D,2,3,Nice,56,5,https://d2p3bygnnzw9w3.cloudfront.net/req/202105061/tlogo/fb/d53c0b06.png
Lyon,2021-05-16,37,Visitante,V,5,2,Nîmes,56,7,
Lyon,2021-05-08,36,Em casa,V,4,1,Lorient,59,5,
Lyon,2021-05-02,35,Visitante,V,3,2,Monaco,52,5,
Lyon,2021-04-25,34,Em casa,D,2,3,Lille,46,5,
Lyon,2021-04-18,33,Visitante,V,2,1,Nantes,50,3,
Lyon,2021-04-11,32,Em casa,V,3,0,Angers,54,3,
Lyon,2021-04-03,31,Visitante,E,1,1,Lens,60,2,
Lyon,2021-03-21,30,Em casa,D,2,4,Paris S-G,44,6,
Lyon,2021-03-12,29,Visitante,E,1,1,Reims,67,2,
Lyon,2021-03-03,28,Em casa,V,1,0,Rennes,47,1,
Lyon,2021-02-28,27,Visitante,E,1,1,Marseille,47,2,
Lyon,2021-02-19,26,Visitante,V,3,2,Brest,49,5,
Lyon,2021-02-13,25,Em casa,D,1,2,Montpellier,55,3,
Lyon,2021-02-06,24,Em casa,V,3,0,Strasbourg,69,3,
Lyon,2021-02-03,23,Visitante,V,1,0,Dijon,62,1,
Lyon,2021-01-29,22,Em casa,V,2,1,Bordeaux,56,3,
Lyon,2021-01-24,21,Visitante,V,5,0,Saint-Étienne,60,5,
Lyon,2021-01-17,20,Em casa,D,0,1,Metz,63,1,
Lyon,2021-01-09,19,Visitante,E,2,2,Rennes,46,4,
Lyon,2021-01-06,18,Em casa,V,3,2,Lens,50,5,
Lyon,2020-12-23,17,Em casa,V,3,0,Nantes,65,3,
Lyon,2020-12-19,16,Visitante,V,4,1,Nice,45,5,
Lyon,2020-12-16,15,Em casa,E,2,2,Brest,56,4,
Lyon,2020-12-13,14,Visitante,V,1,0,Paris S-G,38,1,
Lyon,2020-12-06,13,Visitante,V,3,1,Metz,53,4,
Lyon,2020-11-29,12,Em casa,V,3,0,Reims,64,3,
Lyon,2020-11-22,11,Visitante,V,1,0,Angers,50,1,
Lyon,2020-11-08,10,Em casa,V,2,1,Saint-Étienne,60,3,
Lyon,2020-11-01, 9,Visitante,E,1,1,Lille,40,2,
Lyon,2020-10-25, 8,Em casa,V,4,1,Monaco,35,5,
Lyon,2020-10-18, 7,Visitante,V,3,2,Strasbourg,48,5,
Lyon,2020-10-04, 6,Em casa,E,1,1,Marseille,67,2,
Lyon,2020-09-27, 5,Visitante,E,1,1,Lorient,68,2,
Lyon,2020-09-18, 4,Em casa,E,0,0,Nîmes,72,0,
Lyon,2020-09-15, 1,Visitante,D,1,2,Montpellier,56,3,
Lyon,2020-09-11, 3,Visitante,E,0,0,Bordeaux,54,0,
Lyon,2020-08-28, 2,Em casa,V,4,1,Dijon,63,5,
Marseille,2021-05-23,38,Visitante,E,1,1,Metz,64,2,https://d2p3bygnnzw9w3.cloudfront.net/req/202105061/tlogo/fb/5725cc7b.png
Marseille,2021-05-16,37,Em casa,V,3,2,Angers,53,5,
Marseille,2021-05-09,36,Visitante,D,0,1,Saint-Étienne,55,1,
Marseille,2021-04-30,35,Em casa,E,1,1,Strasbourg,69,2,
Marseille,2021-04-23,34,Visitante,V,3,1,Reims,59,4,
Marseille,2021-04-17,33,Em casa,V,3,2,Lorient,74,5,
Marseille,2021-04-10,32,Visitante,E,3,3,Montpellier,56,6,
Marseille,2021-04-04,31,Em casa,V,2,0,Dijon,64,2,
Marseille,2021-03-20,30,Visitante,D,0,3,Nice,57,3,
Marseille,2021-03-13,29,Em casa,V,3,1,Brest,41,4,
Marseille,2021-03-10,22,Em casa,V,1,0,Rennes,51,1,
Marseille,2021-03-03,28,Visitante,D,0,2,Lille,42,2,
Marseille,2021-02-28,27,Em casa,E,1,1,Lyon,53,2,
Marseille,2021-02-20,26,Visitante,E,1,1,Nantes,65,2,
Marseille,2021-02-17,11,Em casa,V,3,2,Nice,45,5,
Marseille,2021-02-14,25,Visitante,E,0,0,Bordeaux,44,0,
Marseille,2021-02-07,24,Em casa,D,0,2,Paris S-G,53,2,
Marseille,2021-02-03,23,Visitante,E,2,2,Lens,40,4,
Marseille,2021-01-23,21,Visitante,D,1,3,Monaco,46,4,
Marseille,2021-01-20, 9,Em casa,D,0,1,Lens,47,1,
Marseille,2021-01-16,20,Em casa,D,1,2,Nîmes,63,3,
Marseille,2021-01-09,19,Visitante,E,0,0,Dijon,58,0,
Marseille,2021-01-06,18,Em casa,V,3,1,Montpellier,56,4,
Marseille,2020-12-23,17,Visitante,D,1,2,Angers,68,3,
Marseille,2020-12-19,16,Em casa,E,1,1,Reims,70,2,
Marseille,2020-12-16,15,Visitante,D,1,2,Rennes,32,3,
Marseille,2020-12-12,14,Em casa,V,2,1,Monaco,40,3,
Marseille,2020-12-04,13,Visitante,V,2,0,Nîmes,68,2,
Marseille,2020-11-28,12,Em casa,V,3,1,Nantes,57,4,
Marseille,2020-11-06,10,Visitante,V,1,0,Strasbourg,47,1,
Marseille,2020-10-24, 8,Visitante,V,1,0,Lorient,62,1,
Marseille,2020-10-17, 7,Em casa,V,3,1,Bordeaux,56,4,
Marseille,2020-10-04, 6,Visitante,E,1,1,Lyon,33,2,
Marseille,2020-09-26, 5,Em casa,E,1,1,Metz,60,2,
Marseille,2020-09-20, 4,Em casa,E,1,1,Lille,56,2,
Marseille,2020-09-17, 1,Em casa,D,0,2,Saint-Étienne,58,2,
Marseille,2020-09-13, 3,Visitante,V,1,0,Paris S-G,36,1,
Marseille,2020-08-30, 2,Visitante,V,3,2,Brest,41,5,
Rennes,2021-05-23,38,Em casa,V,2,0,Nîmes,68,2,https://d2p3bygnnzw9w3.cloudfront.net/req/202105061/tlogo/fb/b3072e00.png
Rennes,2021-05-16,37,Visitante,D,1,2,Monaco,59,3,
Rennes,2021-05-09,36,Em casa,E,1,1,Paris S-G,43,2,
Rennes,2021-05-02,35,Visitante,D,0,1,Bordeaux,54,1,
Rennes,2021-04-25,34,Em casa,V,5,1,Dijon,73,6,
Rennes,2021-04-17,33,Visitante,V,3,0,Angers,59,3,
Rennes,2021-04-11,32,Em casa,V,1,0,Nantes,64,1,
Rennes,2021-04-04,31,Visitante,E,2,2,Reims,57,4,
Rennes,2021-03-20,30,Visitante,V,3,1,Metz,48,4,
Rennes,2021-03-14,29,Em casa,V,1,0,Strasbourg,49,1,
Rennes,2021-03-10,22,Visitante,D,0,1,Marseille,49,1,
Rennes,2021-03-03,28,Visitante,D,0,1,Lyon,53,1,
Rennes,2021-02-26,27,Em casa,D,1,2,Nice,61,3,
Rennes,2021-02-21,26,Visitante,D,1,2,Montpellier,65,3,
Rennes,2021-02-14,25,Em casa,D,0,2,Saint-Étienne,71,2,
Rennes,2021-02-06,24,Visitante,E,0,0,Lens,48,0,
Rennes,2021-02-03,23,Em casa,E,1,1,Lorient,59,2,
Rennes,2021-01-24,21,Em casa,D,0,1,Lille,67,1,
Rennes,2021-01-17,20,Visitante,V,2,1,Brest,57,3,
Rennes,2021-01-09,19,Em casa,E,2,2,Lyon,54,4,
Rennes,2021-01-06,18,Visitante,E,0,0,Nantes,72,0,
Rennes,2020-12-23,17,Em casa,V,1,0,Metz,62,1,
Rennes,2020-12-20,16,Visitante,V,3,0,Lorient,57,3,
Rennes,2020-12-16,15,Em casa,V,2,1,Marseille,68,3,
Rennes,2020-12-13,14,Visitante,V,1,0,Nice,46,1,
Rennes,2020-12-05,13,Em casa,D,0,2,Lens,61,2,
Rennes,2020-11-27,12,Visitante,E,1,1,Strasbourg,68,2,
Rennes,2020-11-20,11,Em casa,D,0,1,Bordeaux,58,1,
Rennes,2020-11-07,10,Visitante,D,0,3,Paris S-G,51,3,
Rennes,2020-10-31, 9,Em casa,V,2,1,Brest,69,3,
Rennes,2020-10-23, 8,Em casa,D,1,2,Angers,63,3,
Rennes,2020-10-16, 7,Visitante,E,1,1,Dijon,60,2,
Rennes,2020-10-04, 6,Em casa,E,2,2,Reims,73,4,
Rennes,2020-09-26, 5,Visitante,V,3,0,Saint-Étienne,52,3,
Rennes,2020-09-19, 4,Em casa,V,2,1,Monaco,58,3,
Rennes,2020-09-13, 3,Visitante,V,4,2,Nîmes,55,6,
Rennes,2020-08-29, 2,Em casa,V,2,1,Montpellier,65,3,
Rennes,2020-08-22, 1,Visitante,E,1,1,Lille,48,2,
Lens,2021-05-23,38,Em casa,E,0,0,Monaco,35,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202105061/tlogo/fb/fd4e0f7d.png
Lens,2021-05-16,37,Visitante,D,0,3,Bordeaux,65,3,
Lens,2021-05-07,36,Em casa,D,0,3,Lille,50,3,
Lens,2021-05-01,35,Visitante,D,1,2,Paris S-G,41,3,
Lens,2021-04-25,34,Em casa,V,2,1,Nîmes,44,3,
