,clube,data,rodada,local,resultado,gols_marcados,gols_sofridos,oponente,posse,gols_partida,escanteios,passes_certos_%,total_chutes,chutes_a_gol_%,chutes_por_gol,cartoes_amarelos,cartoes_vermelhos,faltas_cometidas,chutes_contra_o_gol,defesas_%,sem_vazamento,escudo
25,Sassuolo,2020-09-20, 1,Em casa,E,1.0,1.0,Cagliari,67.0,2.0,7,89.3,33,27.3,33.0,1,0,11,4,75.0,0,
0,Hellas Verona,2021-03-13,27,Visitante,D,2.0,3.0,Sassuolo,59.0,5.0,5,83.3,13,30.8,6.5,2,0,20,6,50.0,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103121/tlogo/fb/0e72edf2.png
1,Hellas Verona,2021-03-07,26,Em casa,D,0.0,2.0,Milan,53.0,2.0,8,75.0,11,0.0,0.0,2,0,14,3,33.3,0,
2,Hellas Verona,2021-03-03,25,Visitante,V,3.0,0.0,Benevento,49.0,3.0,7,77.4,10,50.0,3.3333333333333335,1,0,20,1,100.0,1,
3,Hellas Verona,2021-02-27,24,Em casa,E,1.0,1.0,Juventus,44.0,2.0,8,75.9,14,42.9,14.0,2,0,20,5,80.0,0,
4,Hellas Verona,2021-02-20,23,Visitante,E,2.0,2.0,Genoa,50.0,4.0,1,74.4,9,33.3,4.5,1,0,18,3,33.3,0,
5,Hellas Verona,2021-02-15,22,Em casa,V,2.0,1.0,Parma,51.0,3.0,4,73.8,12,33.3,6.0,4,0,19,1,100.0,0,
6,Hellas Verona,2021-02-07,21,Visitante,D,0.0,2.0,Udinese,54.0,2.0,8,76.3,6,0.0,0.0,4,0,15,7,71.4,0,
7,Hellas Verona,2021-01-31,20,Visitante,D,1.0,3.0,Roma,51.0,4.0,5,78.1,9,11.1,9.0,1,0,12,7,57.1,0,
8,Hellas Verona,2021-01-24,19,Em casa,V,3.0,1.0,Napoli,48.0,4.0,3,75.7,14,50.0,4.666666666666667,2,0,13,2,50.0,0,
9,Hellas Verona,2021-01-16,18,Visitante,D,0.0,1.0,Bologna,52.0,1.0,3,75.5,8,12.5,0.0,1,0,10,4,100.0,0,
10,Hellas Verona,2021-01-10,17,Em casa,V,2.0,1.0,Crotone,45.0,3.0,6,67.7,13,46.2,6.5,3,0,16,2,50.0,0,
11,Hellas Verona,2021-01-06,16,Visitante,E,1.0,1.0,Torino,55.0,2.0,3,76.5,8,25.0,8.0,3,0,21,2,50.0,0,
12,Hellas Verona,2021-01-03,15,Visitante,V,1.0,0.0,Spezia,47.0,1.0,5,70.1,12,25.0,12.0,0,0,11,1,100.0,1,
13,Hellas Verona,2020-12-23,14,Em casa,D,1.0,2.0,Inter,40.0,3.0,2,69.4,6,33.3,6.0,4,0,18,6,66.7,0,
14,Hellas Verona,2020-12-19,13,Visitante,E,1.0,1.0,Fiorentina,39.0,2.0,1,60.1,4,50.0,4.0,2,0,19,0,,0,
15,Hellas Verona,2020-12-16,12,Em casa,D,1.0,2.0,Sampdoria,55.0,3.0,6,74.0,7,28.6,7.0,2,1,19,3,33.3,0,
16,Hellas Verona,2020-12-12,11,Visitante,V,2.0,1.0,Lazio,42.0,3.0,3,72.3,6,66.7,3.0,3,0,17,4,75.0,0,
17,Hellas Verona,2020-12-06,10,Em casa,E,1.0,1.0,Cagliari,51.0,2.0,7,77.6,18,16.7,18.0,2,0,13,3,66.7,0,
18,Hellas Verona,2020-11-28, 9,Visitante,V,2.0,0.0,Atalanta,42.0,2.0,1,74.8,6,16.7,3.0,3,0,20,5,100.0,1,
19,Hellas Verona,2020-11-22, 8,Em casa,D,0.0,2.0,Sassuolo,52.0,2.0,6,74.3,19,15.8,0.0,1,0,16,4,50.0,0,
20,Hellas Verona,2020-11-08, 7,Visitante,E,2.0,2.0,Milan,34.0,4.0,1,65.6,7,28.6,3.5,3,0,23,8,75.0,0,
21,Hellas Verona,2020-11-02, 6,Em casa,V,3.0,1.0,Benevento,45.0,4.0,4,71.6,14,42.9,4.666666666666667,5,0,21,5,80.0,0,
22,Hellas Verona,2020-10-25, 5,Visitante,E,1.0,1.0,Juventus,39.0,2.0,3,73.4,6,33.3,6.0,4,0,21,6,83.3,0,
23,Hellas Verona,2020-10-19, 4,Em casa,E,0.0,0.0,Genoa,59.0,0.0,14,77.1,18,55.6,0.0,1,0,14,2,100.0,1,
24,Hellas Verona,2020-10-04, 3,Visitante,D,0.0,1.0,Parma,61.0,1.0,6,81.9,8,25.0,0.0,1,0,21,4,75.0,0,
25,Hellas Verona,2020-09-27, 2,Em casa,V,1.0,0.0,Udinese,48.0,1.0,1,71.4,11,18.2,11.0,1,0,15,4,100.0,1,
26,Hellas Verona,2020-09-19, 1,Em casa,V,3.0,0.0,Roma,40.0,3.0,0,67.5,8,37.5,2.6666666666666665,2,0,20,4,,1,
0,Sampdoria,2021-03-14,27,Visitante,D,1.0,3.0,Bologna,56.0,4.0,6,78.5,17,23.5,17.0,2,0,12,6,50.0,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103121/tlogo/fb/8ff9e3b3.png
1,Sampdoria,2021-03-07,26,Em casa,E,2.0,2.0,Cagliari,52.0,4.0,3,80.9,12,41.7,6.0,4,0,18,4,50.0,0,
2,Sampdoria,2021-03-03,25,Visitante,E,1.0,1.0,Genoa,49.0,2.0,4,81.4,11,36.4,11.0,0,0,16,1,0.0,0,
3,Sampdoria,2021-02-28,24,Em casa,D,0.0,2.0,Atalanta,45.0,2.0,5,75.1,8,25.0,0.0,1,0,9,8,75.0,0,
4,Sampdoria,2021-02-20,23,Visitante,D,0.0,1.0,Lazio,44.0,1.0,5,74.6,8,0.0,0.0,3,0,18,6,83.3,0,
5,Sampdoria,2021-02-14,22,Em casa,V,2.0,1.0,Fiorentina,50.0,3.0,6,74.1,8,37.5,4.0,1,0,17,7,85.7,0,
6,Sampdoria,2021-02-07,21,Visitante,E,1.0,1.0,Benevento,64.0,2.0,10,77.9,14,42.9,14.0,2,0,16,3,66.7,0,
7,Sampdoria,2021-01-30,20,Em casa,D,0.0,2.0,Juventus,39.0,2.0,5,78.6,6,16.7,0.0,4,0,16,3,33.3,0,
8,Sampdoria,2021-01-24,19,Visitante,V,2.0,0.0,Parma,49.0,2.0,5,81.3,11,27.3,5.5,1,0,16,5,100.0,1,
9,Sampdoria,2021-01-16,18,Em casa,V,2.0,1.0,Udinese,54.0,3.0,11,80.7,14,35.7,7.0,1,0,10,5,80.0,0,
10,Sampdoria,2021-01-11,17,Visitante,D,1.0,2.0,Spezia,44.0,3.0,2,70.1,6,50.0,6.0,3,0,16,3,66.7,0,
11,Sampdoria,2021-01-06,16,Em casa,V,2.0,1.0,Inter,37.0,3.0,4,73.5,9,22.2,4.5,3,0,13,6,83.3,0,
12,Sampdoria,2021-01-03,15,Visitante,D,0.0,1.0,Roma,37.0,1.0,2,68.5,5,40.0,0.0,5,0,17,6,83.3,0,
13,Sampdoria,2020-12-23,14,Em casa,D,2.0,3.0,Sassuolo,47.0,5.0,14,73.5,26,23.1,13.0,2,1,13,8,62.5,0,
14,Sampdoria,2020-12-19,13,Em casa,V,3.0,1.0,Crotone,43.0,4.0,3,75.3,12,33.3,4.0,2,0,14,1,100.0,0,
15,Sampdoria,2020-12-16,12,Visitante,V,2.0,1.0,Hellas Verona,45.0,3.0,3,69.9,10,30.0,5.0,4,0,18,2,100.0,0,
16,Sampdoria,2020-12-13,11,Visitante,D,1.0,2.0,Napoli,34.0,3.0,5,76.0,8,37.5,8.0,4,0,16,6,66.7,0,
17,Sampdoria,2020-12-06,10,Em casa,D,1.0,2.0,Milan,39.0,3.0,9,65.9,11,27.3,11.0,2,0,12,4,75.0,0,
18,Sampdoria,2020-11-30, 9,Visitante,E,2.0,2.0,Torino,47.0,4.0,2,81.0,11,18.2,5.5,2,0,17,7,71.4,0,
19,Sampdoria,2020-11-22, 8,Em casa,D,1.0,2.0,Bologna,45.0,3.0,9,71.8,10,40.0,10.0,2,0,12,3,33.3,0,
20,Sampdoria,2020-11-07, 7,Visitante,D,0.0,2.0,Cagliari,44.0,2.0,4,79.1,5,20.0,0.0,2,1,16,4,75.0,0,
21,Sampdoria,2020-11-01, 6,Em casa,E,1.0,1.0,Genoa,54.0,2.0,7,79.2,9,33.3,9.0,5,0,24,4,75.0,0,
22,Sampdoria,2020-10-24, 5,Visitante,V,3.0,1.0,Atalanta,35.0,4.0,1,74.1,6,50.0,2.0,4,0,23,4,100.0,0,
23,Sampdoria,2020-10-17, 4,Em casa,V,3.0,0.0,Lazio,52.0,3.0,4,78.9,12,58.3,4.0,2,0,17,0,,1,
24,Sampdoria,2020-10-02, 3,Visitante,V,2.0,1.0,Fiorentina,35.0,3.0,4,72.0,18,38.9,9.0,3,0,19,5,80.0,0,
25,Sampdoria,2020-09-26, 2,Em casa,D,2.0,3.0,Benevento,40.0,5.0,6,67.1,9,33.3,4.5,3,0,18,5,40.0,0,
26,Sampdoria,2020-09-20, 1,Visitante,D,0.0,3.0,Juventus,34.0,3.0,4,76.6,15,6.7,0.0,1,0,9,8,62.5,0,
0,Bologna,2021-03-14,27,Em casa,V,3.0,1.0,Sampdoria,44.0,4.0,2,75.4,10,60.0,3.3333333333333335,2,0,17,4,75.0,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103121/tlogo/fb/1d8099f8.png
1,Bologna,2021-03-07,26,Visitante,D,1.0,3.0,Napoli,57.0,4.0,3,79.4,16,25.0,16.0,0,0,13,7,57.1,0,
2,Bologna,2021-03-03,25,Visitante,D,0.0,1.0,Cagliari,63.0,1.0,4,85.9,13,38.5,0.0,2,0,19,3,66.7,0,
3,Bologna,2021-02-27,24,Em casa,V,2.0,0.0,Lazio,41.0,2.0,4,75.1,11,54.5,5.5,1,0,11,6,100.0,1,
4,Bologna,2021-02-20,23,Visitante,E,1.0,1.0,Sassuolo,27.0,2.0,6,66.3,5,40.0,5.0,0,1,10,8,87.5,0,
5,Bologna,2021-02-12,22,Em casa,E,1.0,1.0,Benevento,58.0,2.0,8,83.3,12,16.7,12.0,3,0,18,6,83.3,0,
6,Bologna,2021-02-07,21,Visitante,V,3.0,0.0,Parma,43.0,3.0,1,79.2,15,33.3,5.0,1,0,14,5,100.0,1,
7,Bologna,2021-01-30,20,Em casa,D,1.0,2.0,Milan,49.0,3.0,6,78.2,11,45.5,11.0,2,0,13,8,87.5,0,
8,Bologna,2021-01-24,19,Visitante,D,0.0,2.0,Juventus,47.0,2.0,6,83.9,11,18.2,0.0,2,0,19,11,81.8,0,
9,Bologna,2021-01-16,18,Em casa,V,1.0,0.0,Hellas Verona,48.0,1.0,7,74.0,19,21.1,19.0,2,0,18,1,100.0,1,
10,Bologna,2021-01-09,17,Visitante,D,0.0,2.0,Genoa,64.0,2.0,4,81.9,13,23.1,0.0,0,0,9,7,71.4,0,
11,Bologna,2021-01-06,16,Em casa,E,2.0,2.0,Udinese,38.0,4.0,4,79.7,10,60.0,5.0,4,1,15,6,66.7,0,
12,Bologna,2021-01-03,15,Visitante,E,0.0,0.0,Fiorentina,54.0,0.0,5,85.1,8,37.5,0.0,3,0,14,0,,1,
13,Bologna,2020-12-23,14,Em casa,E,2.0,2.0,Atalanta,46.0,4.0,1,82.1,9,33.3,4.5,2,0,15,5,80.0,0,
14,Bologna,2020-12-20,13,Visitante,E,1.0,1.0,Torino,48.0,2.0,8,79.6,16,37.5,16.0,3,0,19,4,75.0,0,
15,Bologna,2020-12-16,12,Visitante,E,2.0,2.0,Spezia,55.0,4.0,4,73.7,9,55.6,4.5,1,0,12,4,50.0,0,
16,Bologna,2020-12-13,11,Em casa,D,1.0,5.0,Roma,53.0,6.0,1,83.0,7,14.3,7.0,4,0,15,7,28.6,0,
17,Bologna,2020-12-05,10,Visitante,D,1.0,3.0,Inter,54.0,4.0,3,84.8,14,50.0,14.0,2,0,15,7,57.1,0,
18,Bologna,2020-11-29, 9,Em casa,V,1.0,0.0,Crotone,51.0,1.0,10,74.5,14,50.0,14.0,2,0,17,1,100.0,1,
19,Bologna,2020-11-22, 8,Visitante,V,2.0,1.0,Sampdoria,55.0,3.0,10,78.5,11,27.3,5.5,2,0,9,4,75.0,0,
20,Bologna,2020-11-08, 7,Em casa,D,0.0,1.0,Napoli,47.0,1.0,4,79.1,9,33.3,0.0,3,0,12,4,75.0,0,
21,Bologna,2020-10-31, 6,Em casa,V,3.0,2.0,Cagliari,51.0,5.0,7,79.0,22,40.9,7.333333333333333,3,0,15,3,33.3,0,
22,Bologna,2020-10-24, 5,Visitante,D,1.0,2.0,Lazio,51.0,3.0,9,84.2,23,26.1,23.0,3,0,16,4,50.0,0,
23,Bologna,2020-10-18, 4,Em casa,D,3.0,4.0,Sassuolo,48.0,7.0,7,72.9,14,42.9,4.666666666666667,2,0,25,13,69.2,0,
24,Bologna,2020-10-04, 3,Visitante,D,0.0,1.0,Benevento,59.0,1.0,10,83.2,17,41.2,0.0,1,0,15,2,50.0,0,
25,Bologna,2020-09-28, 2,Em casa,V,4.0,1.0,Parma,58.0,5.0,8,83.2,13,61.5,3.25,1,0,14,3,66.7,0,
26,Bologna,2020-09-21, 1,Visitante,D,0.0,2.0,Milan,42.0,2.0,4,81.7,13,30.8,0.0,5,1,23,4,75.0,0,
0,Udinese,2021-03-13,27,Visitante,E,1.0,1.0,Genoa,44.0,2.0,3,80.0,8,25.0,8.0,1,0,12,2,50.0,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103121/tlogo/fb/04eea015.png
1,Udinese,2021-03-06,26,Em casa,V,2.0,0.0,Sassuolo,30.0,2.0,5,74.4,13,53.8,6.5,1,0,10,2,100.0,1,
2,Udinese,2021-03-03,25,Visitante,E,1.0,1.0,Milan,39.0,2.0,2,76.8,5,20.0,5.0,1,0,16,6,100.0,0,
3,Udinese,2021-02-28,24,Em casa,V,1.0,0.0,Fiorentina,47.0,1.0,3,79.4,9,22.2,9.0,1,0,13,2,100.0,1,
4,Udinese,2021-02-21,23,Visitante,E,2.0,2.0,Parma,53.0,4.0,2,85.1,14,21.4,7.0,4,0,16,4,75.0,0,
5,Udinese,2021-02-14,22,Visitante,D,0.0,3.0,Roma,49.0,3.0,2,82.7,6,16.7,0.0,0,0,9,4,50.0,0,
6,Udinese,2021-02-07,21,Em casa,V,2.0,0.0,Hellas Verona,46.0,2.0,10,74.1,16,43.8,8.0,2,0,13,0,,1,
7,Udinese,2021-01-31,20,Visitante,V,1.0,0.0,Spezia,37.0,1.0,2,77.5,5,40.0,5.0,4,1,19,5,100.0,1,
8,Udinese,2021-01-23,19,Em casa,E,0.0,0.0,Inter,39.0,0.0,3,82.3,6,16.7,0.0,3,0,13,4,100.0,1,
9,Udinese,2021-01-20,10,Em casa,E,1.0,1.0,Atalanta,35.0,2.0,2,71.3,6,16.7,6.0,3,0,24,4,75.0,0,
10,Udinese,2021-01-16,18,Visitante,D,1.0,2.0,Sampdoria,46.0,3.0,5,80.4,15,33.3,15.0,1,0,12,5,80.0,0,
11,Udinese,2021-01-10,17,Em casa,D,1.0,2.0,Napoli,38.0,3.0,2,82.0,17,47.1,17.0,3,0,21,5,80.0,0,
12,Udinese,2021-01-06,16,Visitante,E,2.0,2.0,Bologna,62.0,4.0,6,82.9,17,35.3,8.5,3,0,15,6,66.7,0,
13,Udinese,2021-01-03,15,Visitante,D,1.0,4.0,Juventus,38.0,5.0,1,80.4,10,30.0,10.0,0,0,10,10,60.0,0,
14,Udinese,2020-12-23,14,Em casa,D,0.0,2.0,Benevento,61.0,2.0,7,84.1,14,21.4,0.0,1,0,22,4,50.0,0,
15,Udinese,2020-12-20,13,Visitante,E,1.0,1.0,Cagliari,47.0,2.0,7,80.5,14,28.6,14.0,1,0,15,3,66.7,0,
16,Udinese,2020-12-15,12,Em casa,E,0.0,0.0,Crotone,55.0,0.0,9,81.5,15,40.0,0.0,1,0,14,2,100.0,1,
17,Udinese,2020-12-12,11,Visitante,V,3.0,2.0,Torino,39.0,5.0,2,82.9,10,30.0,3.3333333333333335,3,0,26,3,33.3,0,
18,Udinese,2020-11-29, 9,Visitante,V,3.0,1.0,Lazio,45.0,4.0,4,82.1,9,44.4,3.0,4,0,12,5,100.0,0,
19,Udinese,2020-11-22, 8,Em casa,V,1.0,0.0,Genoa,47.0,1.0,4,82.2,8,25.0,8.0,2,0,18,1,100.0,1,
20,Udinese,2020-11-06, 7,Visitante,E,0.0,0.0,Sassuolo,38.0,0.0,6,77.1,2,0.0,0.0,2,0,17,1,100.0,1,
21,Udinese,2020-11-01, 6,Em casa,D,1.0,2.0,Milan,40.0,3.0,2,79.4,8,12.5,8.0,2,0,15,4,50.0,0,
22,Udinese,2020-10-25, 5,Visitante,D,2.0,3.0,Fiorentina,55.0,5.0,7,79.8,16,37.5,8.0,3,0,17,3,0.0,0,
23,Udinese,2020-10-18, 4,Em casa,V,3.0,2.0,Parma,43.0,5.0,11,77.4,14,28.6,4.666666666666667,3,0,13,4,50.0,0,
24,Udinese,2020-10-03, 3,Em casa,D,0.0,1.0,Roma,45.0,1.0,4,77.3,10,40.0,0.0,1,0,16,3,66.7,0,
25,Udinese,2020-09-30, 1,Em casa,D,0.0,2.0,Spezia,48.0,2.0,2,82.3,15,26.7,0.0,0,0,15,2,0.0,0,
26,Udinese,2020-09-27, 2,Visitante,D,0.0,1.0,Hellas Verona,52.0,1.0,9,73.1,21,19.0,0.0,0,0,14,2,50.0,0,
0,Genoa,2021-03-13,27,Em casa,E,1.0,1.0,Udinese,56.0,2.0,6,83.9,11,18.2,11.0,3,0,20,2,100.0,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103121/tlogo/fb/658bf2de.png
1,Genoa,2021-03-07,26,Visitante,D,0.0,1.0,Roma,45.0,1.0,1,82.4,6,33.3,0.0,4,0,18,2,50.0,0,
2,Genoa,2021-03-03,25,Em casa,E,1.0,1.0,Sampdoria,51.0,2.0,2,81.0,6,16.7,6.0,1,0,15,4,75.0,0,
3,Genoa,2021-02-28,24,Visitante,D,0.0,3.0,Inter,49.0,3.0,1,88.3,3,66.7,0.0,2,0,9,12,75.0,0,
4,Genoa,2021-02-20,23,Em casa,E,2.0,2.0,Hellas Verona,50.0,4.0,5,74.9,14,21.4,7.0,1,0,11,3,33.3,0,
5,Genoa,2021-02-13,22,Visitante,E,0.0,0.0,Torino,55.0,0.0,5,76.5,6,33.3,0.0,4,0,17,2,100.0,1,
6,Genoa,2021-02-06,21,Em casa,V,2.0,1.0,Napoli,34.0,3.0,1,73.5,4,50.0,2.0,2,0,14,9,88.9,0,
7,Genoa,2021-01-31,20,Visitante,V,3.0,0.0,Crotone,46.0,3.0,11,71.9,11,45.5,3.6666666666666665,1,0,22,4,100.0,1,
8,Genoa,2021-01-24,19,Em casa,V,1.0,0.0,Cagliari,41.0,1.0,4,76.6,11,45.5,11.0,1,0,13,4,100.0,1,
9,Genoa,2021-01-17,18,Visitante,E,0.0,0.0,Atalanta,36.0,0.0,1,71.4,7,42.9,0.0,2,0,13,2,100.0,1,
10,Genoa,2021-01-09,17,Em casa,V,2.0,0.0,Bologna,36.0,2.0,1,70.7,10,70.0,5.0,2,0,13,3,100.0,1,
11,Genoa,2021-01-06,16,Visitante,D,1.0,2.0,Sassuolo,37.0,3.0,2,75.9,7,28.6,7.0,3,0,14,3,33.3,0,
12,Genoa,2021-01-03,15,Em casa,E,1.0,1.0,Lazio,39.0,2.0,4,75.9,10,30.0,10.0,2,0,12,2,100.0,0,
13,Genoa,2020-12-23,14,Visitante,V,2.0,1.0,Spezia,33.0,3.0,2,69.8,6,66.7,3.0,4,0,23,4,75.0,0,
14,Genoa,2020-12-20,13,Visitante,D,0.0,2.0,Benevento,56.0,2.0,5,79.2,8,25.0,0.0,3,0,23,2,50.0,0,
15,Genoa,2020-12-16,12,Em casa,E,2.0,2.0,Milan,42.0,4.0,4,77.0,10,40.0,5.0,2,0,23,4,50.0,0,
16,Genoa,2020-12-13,11,Em casa,D,1.0,3.0,Juventus,30.0,4.0,0,66.6,3,66.7,3.0,3,0,18,8,87.5,0,
17,Genoa,2020-12-07,10,Visitante,E,1.0,1.0,Fiorentina,39.0,2.0,1,74.8,7,42.9,7.0,2,0,20,6,83.3,0,
18,Genoa,2020-11-30, 9,Em casa,D,1.0,2.0,Parma,51.0,3.0,2,76.2,14,35.7,14.0,2,0,14,3,33.3,0,
19,Genoa,2020-11-22, 8,Visitante,D,0.0,1.0,Udinese,53.0,1.0,8,80.7,11,9.1,0.0,3,1,15,2,50.0,0,
20,Genoa,2020-11-08, 7,Em casa,D,1.0,3.0,Roma,50.0,4.0,1,82.3,7,71.4,7.0,1,0,11,9,66.7,0,
21,Genoa,2020-11-04, 3,Em casa,D,1.0,2.0,Torino,52.0,3.0,5,80.9,16,12.5,16.0,2,0,10,1,-100.0,0,
22,Genoa,2020-11-01, 6,Visitante,E,1.0,1.0,Sampdoria,46.0,2.0,4,77.2,11,36.4,11.0,1,0,17,3,66.7,0,
23,Genoa,2020-10-24, 5,Em casa,D,0.0,2.0,Inter,39.0,2.0,1,77.0,1,0.0,0.0,1,0,14,4,50.0,0,
24,Genoa,2020-10-19, 4,Visitante,E,0.0,0.0,Hellas Verona,41.0,0.0,2,70.1,6,33.3,0.0,4,0,19,10,100.0,1,
25,Genoa,2020-09-27, 2,Visitante,D,0.0,6.0,Napoli,43.0,6.0,2,85.6,6,0.0,0.0,2,0,14,10,40.0,0,
26,Genoa,2020-09-20, 1,Em casa,V,4.0,1.0,Crotone,49.0,5.0,6,83.8,15,40.0,3.75,4,0,13,3,66.7,0,
0,Fiorentina,2021-03-13,27,Visitante,V,4.0,1.0,Benevento,41.0,5.0,3,76.5,11,45.5,2.75,1,0,20,4,75.0,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103121/tlogo/fb/421387cf.png
1,Fiorentina,2021-03-07,26,Em casa,E,3.0,3.0,Parma,44.0,6.0,3,74.8,5,40.0,1.6666666666666667,0,0,20,3,33.3,0,
2,Fiorentina,2021-03-03,25,Em casa,D,1.0,2.0,Roma,41.0,3.0,2,74.4,7,28.6,7.0,1,0,13,6,66.7,0,
3,Fiorentina,2021-02-28,24,Visitante,D,0.0,1.0,Udinese,53.0,1.0,9,79.5,8,25.0,0.0,2,0,22,2,50.0,0,
4,Fiorentina,2021-02-19,23,Em casa,V,3.0,0.0,Spezia,37.0,3.0,0,75.8,10,50.0,3.3333333333333335,4,0,24,2,100.0,1,
5,Fiorentina,2021-02-14,22,Visitante,D,1.0,2.0,Sampdoria,50.0,3.0,7,72.4,18,38.9,18.0,3,0,12,3,33.3,0,
6,Fiorentina,2021-02-05,21,Em casa,D,0.0,2.0,Inter,45.0,2.0,7,83.7,14,21.4,0.0,3,0,10,6,66.7,0,
7,Fiorentina,2021-01-29,20,Visitante,E,1.0,1.0,Torino,48.0,2.0,2,80.0,8,12.5,8.0,2,2,15,3,66.7,0,
8,Fiorentina,2021-01-23,19,Em casa,V,2.0,1.0,Crotone,46.0,3.0,5,80.6,12,50.0,6.0,2,0,11,3,66.7,0,
9,Fiorentina,2021-01-17,18,Visitante,D,0.0,6.0,Napoli,51.0,6.0,4,84.9,11,9.1,0.0,0,0,16,6,16.7,0,
10,Fiorentina,2021-01-10,17,Em casa,V,1.0,0.0,Cagliari,52.0,1.0,9,77.9,14,28.6,14.0,1,0,18,1,100.0,1,
11,Fiorentina,2021-01-06,16,Visitante,D,1.0,2.0,Lazio,55.0,3.0,9,83.7,10,40.0,10.0,1,0,12,3,33.3,0,
12,Fiorentina,2021-01-03,15,Em casa,E,0.0,0.0,Bologna,46.0,0.0,8,83.6,8,0.0,0.0,4,0,9,3,100.0,1,
13,Fiorentina,2020-12-22,14,Visitante,V,3.0,0.0,Juventus,47.0,3.0,5,81.9,9,55.6,3.0,4,0,20,3,100.0,1,
14,Fiorentina,2020-12-19,13,Em casa,E,1.0,1.0,Hellas Verona,61.0,2.0,4,68.7,8,0.0,8.0,2,0,12,2,100.0,0,
15,Fiorentina,2020-12-16,12,Em casa,E,1.0,1.0,Sassuolo,35.0,2.0,4,75.1,15,26.7,15.0,4,0,19,5,80.0,0,
16,Fiorentina,2020-12-13,11,Visitante,D,0.0,3.0,Atalanta,47.0,3.0,2,76.7,5,40.0,0.0,2,0,15,7,57.1,0,
17,Fiorentina,2020-12-07,10,Em casa,E,1.0,1.0,Genoa,61.0,2.0,5,81.9,19,31.6,19.0,2,0,7,3,66.7,0,
18,Fiorentina,2020-11-29, 9,Visitante,D,0.0,2.0,Milan,55.0,2.0,6,79.4,5,40.0,0.0,4,0,17,2,50.0,0,
19,Fiorentina,2020-11-22, 8,Em casa,D,0.0,1.0,Benevento,62.0,1.0,4,82.0,7,28.6,0.0,2,0,16,4,75.0,0,
20,Fiorentina,2020-11-07, 7,Visitante,E,0.0,0.0,Parma,64.0,0.0,3,89.7,7,57.1,0.0,2,0,18,0,,1,
21,Fiorentina,2020-11-01, 6,Visitante,D,0.0,2.0,Roma,59.0,2.0,4,84.7,8,12.5,0.0,2,1,17,6,66.7,0,
22,Fiorentina,2020-10-25, 5,Em casa,V,3.0,2.0,Udinese,45.0,5.0,2,78.3,5,60.0,1.6666666666666667,1,0,16,6,66.7,0,
23,Fiorentina,2020-10-18, 4,Visitante,E,2.0,2.0,Spezia,48.0,4.0,5,84.6,10,30.0,5.0,2,0,18,2,0.0,0,
24,Fiorentina,2020-10-02, 3,Em casa,D,1.0,2.0,Sampdoria,65.0,3.0,8,82.5,22,22.7,22.0,0,0,12,7,85.7,0,
25,Fiorentina,2020-09-26, 2,Visitante,D,3.0,4.0,Inter,34.0,7.0,1,76.9,10,40.0,3.3333333333333335,1,0,13,7,42.9,0,
26,Fiorentina,2020-09-19, 1,Em casa,V,1.0,0.0,Torino,50.0,1.0,4,84.8,16,37.5,16.0,3,0,17,3,100.0,1,
0,Spezia,2021-03-12,27,Visitante,D,1.0,3.0,Atalanta,53.0,4.0,5,81.3,7,42.9,7.0,0,0,6,7,57.1,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103121/tlogo/fb/68449f6d.png
1,Spezia,2021-03-06,26,Em casa,E,1.0,1.0,Benevento,72.0,2.0,3,85.7,12,25.0,12.0,2,0,14,3,66.7,0,
2,Spezia,2021-03-02,25,Visitante,D,0.0,3.0,Juventus,53.0,3.0,10,83.1,11,0.0,0.0,0,0,16,6,50.0,0,
3,Spezia,2021-02-27,24,Em casa,E,2.0,2.0,Parma,53.0,4.0,8,79.1,11,36.4,5.5,3,0,22,5,60.0,0,
4,Spezia,2021-02-19,23,Visitante,D,0.0,3.0,Fiorentina,63.0,3.0,6,82.2,10,20.0,0.0,0,0,11,5,40.0,0,
5,Spezia,2021-02-13,22,Em casa,V,2.0,0.0,Milan,47.0,2.0,5,74.6,17,23.5,8.5,3,0,20,0,,1,
6,Spezia,2021-02-06,21,Visitante,V,2.0,1.0,Sassuolo,46.0,3.0,5,72.7,13,38.5,6.5,3,0,20,4,75.0,0,
7,Spezia,2021-01-31,20,Em casa,D,0.0,1.0,Udinese,63.0,1.0,2,85.5,10,50.0,0.0,6,1,21,2,100.0,0,
8,Spezia,2021-01-23,19,Visitante,D,3.0,4.0,Roma,52.0,7.0,1,80.2,6,50.0,2.0,1,0,13,7,42.9,0,
9,Spezia,2021-01-16,18,Visitante,E,0.0,0.0,Torino,34.0,0.0,2,73.8,6,50.0,0.0,4,1,13,1,100.0,1,
10,Spezia,2021-01-11,17,Em casa,V,2.0,1.0,Sampdoria,56.0,3.0,4,79.7,8,37.5,4.0,4,0,21,3,66.7,0,
11,Spezia,2021-01-06,16,Visitante,V,2.0,1.0,Napoli,38.0,3.0,2,77.9,8,25.0,4.0,5,1,17,9,88.9,0,
12,Spezia,2021-01-03,15,Em casa,D,0.0,1.0,Hellas Verona,53.0,1.0,3,72.4,7,14.3,0.0,6,1,22,3,66.7,0,
