,clube,data,rodada,local,resultado,gols_marcados,gols_sofridos,oponente,posse,gols_partida,escanteios,passes_certos_%,total_chutes,chutes_a_gol_%,chutes_por_gol,cartoes_amarelos,cartoes_vermelhos,faltas_cometidas,chutes_contra_o_gol,defesas_%,sem_vazamento,escudo
19,Juventus,2020-11-21, 8,Em casa,V,2.0,0.0,Cagliari,66.0,2.0,9,90.0,24,25.0,12.0,3,0,15,0,,1,
20,Juventus,2020-11-08, 7,Visitante,E,1.0,1.0,Lazio,46.0,2.0,2,86.7,11,45.5,11.0,2,0,18,3,66.7,0,
21,Juventus,2020-11-01, 6,Visitante,V,4.0,1.0,Spezia,56.0,5.0,3,86.8,6,50.0,1.5,1,0,8,3,66.7,0,
22,Juventus,2020-10-25, 5,Em casa,E,1.0,1.0,Hellas Verona,61.0,2.0,6,84.6,22,27.3,22.0,1,0,17,2,50.0,0,
23,Juventus,2020-10-17, 4,Visitante,E,1.0,1.0,Crotone,54.0,2.0,4,85.0,10,20.0,10.0,3,1,13,2,100.0,0,
24,Juventus,2020-09-27, 2,Visitante,E,2.0,2.0,Roma,60.0,4.0,7,87.4,7,28.6,3.5,3,1,9,4,75.0,0,
25,Juventus,2020-09-20, 1,Em casa,V,3.0,0.0,Sampdoria,66.0,3.0,6,89.5,21,38.1,7.0,1,0,15,1,100.0,1,
0,Atalanta,2021-03-12,27,Em casa,V,3.0,1.0,Spezia,47.0,4.0,3,81.9,14,50.0,4.666666666666667,2,0,19,3,66.7,0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103121/tlogo/fb/922493f3.png
1,Atalanta,2021-03-08,26,Visitante,D,0.0,1.0,Inter,55.0,1.0,7,86.6,13,15.4,0.0,1,0,18,1,0.0,0,
2,Atalanta,2021-03-03,25,Em casa,V,5.0,1.0,Crotone,65.0,6.0,4,85.4,21,52.4,4.2,0,0,7,2,50.0,0,
3,Atalanta,2021-02-28,24,Visitante,V,2.0,0.0,Sampdoria,55.0,2.0,6,83.0,20,40.0,10.0,3,0,17,2,100.0,1,
4,Atalanta,2021-02-21,23,Em casa,V,4.0,2.0,Napoli,47.0,6.0,6,83.0,18,27.8,4.5,2,0,20,2,0.0,0,
5,Atalanta,2021-02-14,22,Visitante,V,1.0,0.0,Cagliari,65.0,1.0,6,81.3,10,20.0,10.0,3,0,16,1,100.0,1,
6,Atalanta,2021-02-06,21,Em casa,E,3.0,3.0,Torino,58.0,6.0,4,79.3,11,36.4,3.6666666666666665,3,0,23,5,40.0,0,
7,Atalanta,2021-01-31,20,Em casa,D,1.0,3.0,Lazio,55.0,4.0,2,81.6,8,25.0,8.0,0,0,13,7,57.1,0,
8,Atalanta,2021-01-23,19,Visitante,V,3.0,0.0,Milan,49.0,3.0,7,83.6,17,41.2,5.666666666666667,1,0,19,3,100.0,1,
9,Atalanta,2021-01-20,10,Visitante,E,1.0,1.0,Udinese,65.0,2.0,7,82.1,17,23.5,17.0,2,0,29,1,0.0,0,
10,Atalanta,2021-01-17,18,Em casa,E,0.0,0.0,Genoa,64.0,0.0,9,80.0,18,11.1,0.0,1,0,15,3,100.0,1,
11,Atalanta,2021-01-09,17,Visitante,V,4.0,1.0,Benevento,58.0,5.0,11,84.6,27,44.4,6.75,2,0,22,2,50.0,0,
12,Atalanta,2021-01-06,16,Em casa,V,3.0,0.0,Parma,51.0,3.0,12,84.6,17,35.3,5.666666666666667,1,0,13,0,,1,
13,Atalanta,2021-01-03,15,Em casa,V,5.0,1.0,Sassuolo,46.0,6.0,8,76.6,23,30.4,4.6,3,0,21,4,75.0,0,
14,Atalanta,2020-12-23,14,Visitante,E,2.0,2.0,Bologna,54.0,4.0,5,83.3,11,45.5,5.5,2,0,17,3,33.3,0,
15,Atalanta,2020-12-20,13,Em casa,V,4.0,1.0,Roma,55.0,5.0,2,83.6,15,53.3,3.75,2,0,15,3,66.7,0,
16,Atalanta,2020-12-16,12,Visitante,E,1.0,1.0,Juventus,46.0,2.0,6,80.6,15,40.0,15.0,2,0,18,6,83.3,0,
17,Atalanta,2020-12-13,11,Em casa,V,3.0,0.0,Fiorentina,53.0,3.0,11,84.2,21,33.3,7.0,1,0,18,2,100.0,1,
18,Atalanta,2020-11-28, 9,Em casa,D,0.0,2.0,Hellas Verona,58.0,2.0,4,79.6,19,26.3,0.0,2,0,14,1,0.0,0,
19,Atalanta,2020-11-21, 8,Visitante,E,0.0,0.0,Spezia,45.0,0.0,2,76.1,11,36.4,0.0,3,0,19,2,100.0,1,
20,Atalanta,2020-11-08, 7,Em casa,E,1.0,1.0,Inter,52.0,2.0,2,87.5,9,22.2,9.0,1,0,17,3,66.7,0,
21,Atalanta,2020-10-31, 6,Visitante,V,2.0,1.0,Crotone,58.0,3.0,3,85.2,18,33.3,9.0,3,0,22,1,0.0,0,
22,Atalanta,2020-10-24, 5,Em casa,D,1.0,3.0,Sampdoria,65.0,4.0,3,85.4,19,21.1,19.0,3,0,13,3,0.0,0,
23,Atalanta,2020-10-17, 4,Visitante,D,1.0,4.0,Napoli,50.0,5.0,2,86.5,13,30.8,13.0,3,0,24,13,69.2,0,
24,Atalanta,2020-10-04, 3,Em casa,V,5.0,2.0,Cagliari,59.0,7.0,3,86.4,21,57.1,4.2,0,0,12,3,33.3,0,
25,Atalanta,2020-09-30, 1,Visitante,V,4.0,1.0,Lazio,40.0,5.0,3,74.3,10,60.0,2.5,2,0,15,5,80.0,0,
26,Atalanta,2020-09-26, 2,Visitante,V,4.0,2.0,Torino,55.0,6.0,6,82.7,17,41.2,4.25,2,0,15,4,50.0,0,
