clube,data,rodada,local,resultado,gols_marcados,gols_sofridos,oponente,posse,gols_partida,escudo
Atalanta,2021-03-21,28,Visitante,V,2,0,Hellas Verona,47,2,
Atalanta,2021-03-12,27,Em casa,V,3,1,Spezia,47,4,
Atalanta,2021-03-08,26,Visitante,D,0,1,Inter,55,1,
Atalanta,2021-03-03,25,Em casa,V,5,1,Crotone,65,6,
Atalanta,2021-02-28,24,Visitante,V,2,0,Sampdoria,55,2,
Atalanta,2021-02-21,23,Em casa,V,4,2,Napoli,47,6,
Atalanta,2021-02-14,22,Visitante,V,1,0,Cagliari,65,1,
Atalanta,2021-02-06,21,Em casa,E,3,3,Torino,58,6,
Atalanta,2021-01-31,20,Em casa,D,1,3,Lazio,55,4,
Atalanta,2021-01-23,19,Visitante,V,3,0,Milan,49,3,
Atalanta,2021-01-20,10,Visitante,E,1,1,Udinese,65,2,
Atalanta,2021-01-17,18,Em casa,E,0,0,Genoa,64,0,
Atalanta,2021-01-09,17,Visitante,V,4,1,Benevento,58,5,
Atalanta,2021-01-06,16,Em casa,V,3,0,Parma,51,3,
Atalanta,2021-01-03,15,Em casa,V,5,1,Sassuolo,46,6,
Atalanta,2020-12-23,14,Visitante,E,2,2,Bologna,54,4,
Atalanta,2020-12-20,13,Em casa,V,4,1,Roma,55,5,
Atalanta,2020-12-16,12,Visitante,E,1,1,Juventus,46,2,
Atalanta,2020-12-13,11,Em casa,V,3,0,Fiorentina,53,3,
Atalanta,2020-11-28, 9,Em casa,D,0,2,Hellas Verona,58,2,
Atalanta,2020-11-21, 8,Visitante,E,0,0,Spezia,45,0,
Atalanta,2020-11-08, 7,Em casa,E,1,1,Inter,52,2,
Atalanta,2020-10-31, 6,Visitante,V,2,1,Crotone,58,3,
Atalanta,2020-10-24, 5,Em casa,D,1,3,Sampdoria,65,4,
Atalanta,2020-10-17, 4,Visitante,D,1,4,Napoli,50,5,
Atalanta,2020-10-04, 3,Em casa,V,5,2,Cagliari,59,7,
Atalanta,2020-09-30, 1,Visitante,V,4,1,Lazio,40,5,
Atalanta,2020-09-26, 2,Visitante,V,4,2,Torino,55,6,
Juventus,2021-05-23,38,Visitante,V,4,1,Bologna,51,5,https://d2p3bygnnzw9w3.cloudfront.net/req/202105061/tlogo/fb/e0652b02.png
Juventus,2021-05-15,37,Em casa,V,3,2,Inter,41,5,
Juventus,2021-05-12,36,Visitante,V,3,1,Sassuolo,35,4,
Juventus,2021-05-09,35,Em casa,D,0,3,Milan,56,3,
Juventus,2021-05-02,34,Visitante,V,2,1,Udinese,57,3,
Juventus,2021-04-25,33,Visitante,E,1,1,Fiorentina,66,2,
Juventus,2021-04-21,32,Em casa,V,3,1,Parma,64,4,
Juventus,2021-04-18,31,Visitante,D,0,1,Atalanta,56,1,
Juventus,2021-04-11,30,Em casa,V,3,1,Genoa,57,4,
Juventus,2021-04-07, 3,Em casa,V,2,1,Napoli,47,3,
Juventus,2021-04-03,29,Visitante,E,2,2,Torino,71,4,
Juventus,2021-03-21,28,Em casa,D,0,1,Benevento,73,1,
