data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_mandante_primeiro_tempo,gols_visitante_primeiro_tempo,resultado_primeiro_tempo,chutes_mandante,chutes_visitante,chutes_no_gol_mandante,chutes_no_gol_visitante,escanteios_mandante,escanteios_visitante,faltas_cometidas_mandante,faltas_cometidas_visitante,cartoes_amarelos_mandante,cartoes_amarelos_visitante,cartoes_vermelhos_mandante,cartoes_vermelhos_visitante,escanteios_partida,gols_partida,total_cartões_mandante,total_cartões_visitante,total_cartoes_partida
2021-02-19,Başakşehir,Trabzonspor,0,1,Vitória Visitante,0,0,D,7,10,1,3,3,3,11,9,3,2,1,0,6,1,4,2,6
2021-02-15,Antalyaspor,Yeni Mal'spor,1,1,Empate,1,1,D,11,3,4,1,1,3,9,14,0,3,0,0,4,2,0,3,3
2021-02-15,Gençlerbirliği,Beşiktaş,0,3,Vitória Visitante,0,1,A,5,20,1,9,2,9,15,7,3,2,0,0,11,3,3,2,5
2021-02-14,Hatayspor,Alanyaspor,0,0,Empate,0,0,D,7,13,1,7,3,7,13,18,2,3,1,0,10,0,3,3,6
2021-02-14,Göztepe,Başakşehir,2,1,Vitória Mandante,1,0,H,13,12,6,4,3,5,12,16,1,2,0,0,8,3,1,2,3
2021-02-14,Galatasaray,Kasımpaşa,2,1,Vitória Mandante,1,0,H,15,8,10,2,8,2,13,22,0,4,0,0,10,3,0,4,4
2021-02-14,Konyaspor,Denizlispor,2,0,Vitória Mandante,0,0,D,11,8,4,3,3,4,9,15,3,2,0,0,7,2,3,2,5
2021-02-13,Kayserispor,Ankaragücü,0,0,Empate,0,0,D,23,4,7,0,12,4,16,7,1,2,0,1,16,0,1,3,4
2021-02-13,Fatih Karagümrük,Fenerbahçe,1,2,Vitória Visitante,0,1,A,12,7,3,3,8,4,12,16,2,1,0,0,12,3,2,1,3
2021-02-13,Trabzonspor,Gaziantep FK,1,0,Vitória Mandante,0,0,D,8,9,4,2,2,4,8,13,3,4,1,0,6,1,4,4,8
2021-02-03,Yeni Mal'spor,Beşiktaş,0,1,Vitória Visitante,0,0,D,9,13,4,3,4,10,17,14,2,0,0,0,14,1,2,0,2
2021-02-03,Gaziantep FK,Gençlerbirliği,2,1,Vitória Mandante,0,1,A,15,14,7,5,7,3,11,17,0,2,1,0,10,3,1,2,3
2021-02-02,Rizespor,Kasımpaşa,1,1,Empate,0,0,D,16,13,4,5,1,4,8,16,2,2,0,0,5,2,2,2,4
2021-02-02,Galatasaray,Başakşehir,3,0,Vitória Mandante,1,0,H,11,10,5,3,6,5,6,10,1,2,0,0,11,3,1,2,3
2021-02-02,Hatayspor,Fenerbahçe,1,2,Vitória Visitante,0,1,A,18,10,7,6,7,4,17,16,4,2,0,0,11,3,4,2,6
