data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_mandante_primeiro_tempo,gols_visitante_primeiro_tempo,resultado_primeiro_tempo
2020-06-22,Antalyaspor,Rizespor,3.0,1.0,Vitória Mandante,1.0,0.0,H
2020-06-21,Kasimpasa,Fenerbahce,2.0,0.0,Vitória Mandante,0.0,0.0,D
2020-06-21,Galatasaray,Gaziantep,3.0,3.0,Empate,2.0,1.0,H
2020-06-21,Konyaspor,Sivasspor,2.0,2.0,Empate,2.0,1.0,H
2020-06-20,Yeni Malatyaspor,Goztep,2.0,1.0,Vitória Mandante,1.0,0.0,H
2020-06-20,Denizlispor,Besiktas,1.0,5.0,Vitória Visitante,0.0,1.0,A
2020-06-20,Kayserispor,Genclerbirligi,2.0,0.0,Vitória Mandante,1.0,0.0,H
2020-06-19,Ankaragucu,Buyuksehyr,1.0,2.0,Vitória Visitante,1.0,0.0,H
2020-06-15,Sivasspor,Denizlispor,1.0,0.0,Vitória Mandante,1.0,0.0,H
2020-06-14,Genclerbirligi,Konyaspor,2.0,1.0,Vitória Mandante,0.0,0.0,D
2020-06-14,Rizespor,Galatasaray,2.0,0.0,Vitória Mandante,1.0,0.0,H
2020-06-14,Gaziantep,Ankaragucu,1.0,1.0,Empate,1.0,0.0,H
2020-06-13,Buyuksehyr,Alanyaspor,2.0,0.0,Vitória Mandante,0.0,0.0,D
2020-06-13,Besiktas,Antalyaspor,1.0,2.0,Vitória Visitante,0.0,2.0,A
2020-06-13,Yeni Malatyaspor,Kasimpasa,1.0,2.0,Vitória Visitante,1.0,0.0,H
2020-06-07,Kayserispor,Besiktas,3.0,1.0,Vitória Mandante,0.0,0.0,D
2020-06-03,Besiktas,Ankaragucu,2.0,1.0,Vitória Mandante,1.0,0.0,H
2020-05-07,Konyaspor,Rizespor,1.0,0.0,Vitória Mandante,0.0,0.0,D
2020-05-07,Kasimpasa,Sivasspor,0.0,0.0,Empate,0.0,0.0,D
2020-05-07,Galatasaray,Trabzonspor,1.0,3.0,Vitória Visitante,0.0,1.0,A
2020-04-07,Ankaragucu,Alanyaspor,1.0,4.0,Vitória Visitante,0.0,0.0,D
2020-04-07,Fenerbahce,Goztep,2.0,1.0,Vitória Mandante,2.0,0.0,H
2020-04-07,Antalyaspor,Buyuksehyr,0.0,2.0,Vitória Visitante,0.0,0.0,D
2020-04-07,Yeni Malatyaspor,Genclerbirligi,0.0,0.0,Empate,0.0,0.0,D
2020-03-17,Goztep,Rizespor,2.0,0.0,Vitória Mandante,0.0,0.0,D
2020-03-16,Antalyaspor,Sivasspor,1.0,0.0,Vitória Mandante,0.0,0.0,D
2020-03-15,Kayserispor,Yeni Malatyaspor,2.0,1.0,Vitória Mandante,2.0,0.0,H
2020-03-15,Trabzonspor,Buyuksehyr,1.0,1.0,Empate,0.0,0.0,D
2020-03-15,Galatasaray,Besiktas,0.0,0.0,Empate,0.0,0.0,D
2020-03-14,Konyaspor,Fenerbahce,1.0,0.0,Vitória Mandante,1.0,0.0,H
2020-03-14,Alanyaspor,Gaziantep,1.0,0.0,Vitória Mandante,1.0,0.0,H
2020-03-14,Denizlispor,Genclerbirligi,1.0,0.0,Vitória Mandante,0.0,0.0,D
2020-03-13,Kasimpasa,Goztep,2.0,0.0,Vitória Mandante,1.0,0.0,H
2020-03-13,Ankaragucu,Rizespor,2.0,1.0,Vitória Mandante,2.0,1.0,H
2020-03-07,Denizlispor,Gaziantep,0.0,1.0,Vitória Visitante,0.0,1.0,A
2020-03-02,Denizlispor,Goztep,1.0,1.0,Empate,0.0,1.0,A
2020-02-29,Antalyaspor,Fenerbahce,2.0,2.0,Empate,0.0,1.0,A
2020-02-29,Trabzonspor,Rizespor,5.0,2.0,Vitória Mandante,0.0,1.0,A
2020-02-29,Konyaspor,Kasimpasa,0.0,0.0,Empate,0.0,0.0,D
2020-02-28,Alanyaspor,Besiktas,1.0,2.0,Vitória Visitante,1.0,0.0,H
2020-02-24,Kasimpasa,Denizlispor,2.0,0.0,Vitória Mandante,1.0,0.0,H
2020-02-24,Rizespor,Buyuksehyr,1.0,2.0,Vitória Visitante,0.0,1.0,A
2020-02-23,Yeni Malatyaspor,Antalyaspor,1.0,2.0,Vitória Visitante,1.0,1.0,D
2020-02-23,Genclerbirligi,Ankaragucu,1.0,0.0,Vitória Mandante,0.0,0.0,D
2020-02-23,Fenerbahce,Galatasaray,1.0,3.0,Vitória Visitante,1.0,1.0,D
2020-02-22,Besiktas,Trabzonspor,2.0,2.0,Empate,0.0,1.0,A
2020-02-22,Goztep,Gaziantep,1.0,1.0,Empate,0.0,0.0,D
2020-02-22,Kayserispor,Konyaspor,2.0,2.0,Empate,1.0,2.0,A
2020-02-21,Sivasspor,Alanyaspor,1.0,0.0,Vitória Mandante,1.0,0.0,H
2020-02-17,Gaziantep,Rizespor,2.0,0.0,Vitória Mandante,0.0,0.0,D
2020-02-17,Antalyaspor,Kasimpasa,3.0,1.0,Vitória Mandante,0.0,0.0,D
2020-02-16,Alanyaspor,Genclerbirligi,0.0,1.0,Vitória Visitante,0.0,0.0,D
2020-02-16,Trabzonspor,Sivasspor,2.0,1.0,Vitória Mandante,2.0,0.0,H
2020-02-16,Galatasaray,Yeni Malatyaspor,1.0,0.0,Vitória Mandante,1.0,0.0,H
2020-02-15,Ankaragucu,Fenerbahce,2.0,1.0,Vitória Mandante,1.0,0.0,H
2020-02-15,Konyaspor,Goztep,1.0,3.0,Vitória Visitante,1.0,1.0,D
2020-02-15,Denizlispor,Kayserispor,0.0,1.0,Vitória Visitante,0.0,0.0,D
2020-02-14,Buyuksehyr,Besiktas,1.0,0.0,Vitória Mandante,0.0,0.0,D
2020-02-03,Kayserispor,Goztep,1.0,0.0,Vitória Mandante,0.0,0.0,D
2020-02-03,Buyuksehyr,Gaziantep,3.0,1.0,Vitória Mandante,0.0,0.0,D
2020-02-02,Ankaragucu,Kasimpasa,1.0,1.0,Empate,0.0,1.0,A
